0,5046645,3687879,5047813,3687880,5048838,3687888
2048,5257787,3987847,5256579,3987848,5255717,3987848
4096,5466038,4287886,5465127,4287865,5463367,4287890
6144,5674017,4588053,5675200,4588046,5671780,4588013
8192,5883771,4888258,5880992,4888280,5881153,4888273
10240,6092922,5188706,6090198,5188719,6090420,5188701
12288,6299848,5489212,6299514,5489237,6300133,5489254
14336,6509030,5790048,6507753,5790057,6508520,5790055
16384,6716721,6091046,6718011,6091055,6718614,6091041
18432,6926024,6392083,6925477,6392077,6925909,6392079
20480,7136110,6693133,7133560,6693152,7134827,6693131
22528,7343601,6994201,7343150,6994211,7342877,6994214
24576,7552512,7295331,7552205,7295339,7551899,7295320
26624,7761561,7596417,7762256,7596432,7761395,7596428
28672,7971431,7897482,7969908,7897503,7970319,7897482
30720,8179261,8198558,8178860,8198546,8179548,8198568
32768,8388205,8499590,8390141,8499591,8388027,8499579
34816,8596324,8800656,8595805,8800657,8596989,8800689
36864,8805672,9101736,8804913,9101731,8804316,9101733
38912,9015029,9402861,9014325,9402851,9015968,9402857
40960,9224688,9703921,9222688,9703920,9224340,9703921
43008,9432715,10004988,9432618,10004992,9433354,10004961
45056,9641917,10305982,9641812,10306007,9639668,10306012
47104,9849702,10607041,9850309,10607032,9850974,10607040
49152,10060091,10908008,10059155,10908029,10060157,10908034
51200,10268046,11208957,10268009,11208965,10268434,11208967
53248,10478468,11509936,10477528,11509950,10476853,11509947
55296,10684910,11810827,10686175,11810846,10688666,11810824
57344,10897371,12111610,10893435,12111620,10896966,12111653
59392,11104189,12412435,11104780,12412449,11103075,12412457
61440,11313277,12713244,11312336,12713253,11314238,12713221
63488,11520987,13013966,11521356,13013979,11521874,13013989
