0,5047632,3686601,5046599,3686581,5047508,3686587
2048,5255119,3986599,5254829,3986612,5257704,3986602
4096,5465835,4286737,5464536,4286728,5465967,4286709
6144,5672525,4586905,5672961,4586930,5671826,4586917
8192,5881723,4887289,5879935,4887294,5883172,4887288
10240,6091704,5187693,6093179,5187695,6089372,5187686
12288,6298770,5488287,6298214,5488260,6300164,5488274
14336,6510234,5789148,6507552,5789142,6509454,5789126
16384,6716235,6090191,6717766,6090166,6717734,6090176
18432,6926426,6391269,6927200,6391260,6926198,6391278
20480,7133563,6692382,7134465,6692393,7133160,6692401
22528,7342308,6993566,7341288,6993575,7342800,6993580
24576,7553316,7294706,7553112,7294710,7552458,7294751
26624,7761491,7595883,7761017,7595876,7761748,7595860
28672,7969521,7897019,7969494,7897017,7969517,7897029
30720,8177797,8198167,8178610,8198183,8178941,8198176
32768,8388943,8499276,8388335,8499281,8388369,8499266
34816,8598491,8800409,8597445,8800399,8598945,8800413
36864,8805615,9101593,8805909,9101625,8806086,9101615
38912,9014897,9402714,9016856,9402730,9016165,9402736
40960,9222423,9703858,9222951,9703858,9224161,9703855
43008,9432619,10005009,9431953,10005040,9433908,10005038
45056,9642472,10306141,9642074,10306142,9642397,10306134
47104,9849102,10607260,9850918,10607252,9851275,10607262
49152,10061165,10908344,10058359,10908357,10059198,10908354
51200,10268957,11209485,10267440,11209481,10270784,11209476
53248,10477128,11510493,10479169,11510502,10478389,11510498
55296,10685923,11811499,10687381,11811514,10685829,11811503
57344,10896049,12112453,10896694,12112437,10896351,12112453
59392,11103868,12413301,11103790,12413311,11105072,12413307
61440,11312823,12714084,11314316,12714100,11313480,12714094
63488,11521713,13015006,11524546,13014993,11520550,13014999
