0,5047146,3686982,5045486,3686993,5047620,3687016
2048,5256307,3987076,5257291,3987100,5254055,3987088
4096,5465415,4287250,5464504,4287264,5463640,4287254
6144,5673088,4587498,5673574,4587494,5671696,4587493
8192,5880690,4887826,5882041,4887802,5881645,4887811
10240,6089772,5188317,6089836,5188313,6091789,5188309
12288,6299479,5489001,6300098,5489024,6298912,5489001
14336,6508159,5789942,6508188,5789959,6508906,5789942
16384,6718333,6091039,6715614,6091030,6716780,6091032
18432,6925318,6392137,6924968,6392145,6926966,6392145
20480,7135765,6693334,7134732,6693314,7135275,6693337
22528,7343562,6994476,7342317,6994482,7344250,6994476
24576,7552702,7295670,7551603,7295688,7552456,7295693
26624,7762770,7596876,7759868,7596863,7763212,7596871
28672,7970153,7898030,7972350,7898032,7971264,7898041
30720,8179781,8199223,8179946,8199208,8180656,8199224
32768,8388716,8500368,8388160,8500374,8389822,8500357
34816,8597493,8801551,8596695,8801566,8596455,8801562
36864,8805636,9102798,8807500,9102800,8804210,9102784
38912,9014834,9403962,9013919,9403970,9015533,9403958
40960,9222693,9705125,9224910,9705118,9225082,9705121
43008,9434537,10006310,9432241,10006318,9431456,10006297
45056,9641980,10307486,9643939,10307489,9640519,10307500
47104,9851194,10608689,9853238,10608682,9850764,10608688
49152,10059826,10909837,10060631,10909826,10058934,10909829
51200,10267529,11210960,10270654,11210985,10266267,11210986
53248,10477929,11512026,10477247,11512029,10477417,11512013
55296,10688865,11813047,10687567,11813035,10685375,11813049
57344,10895283,12113937,10895268,12113942,10895330,12113940
59392,11102987,12414900,11103983,12414873,11103418,12414896
61440,11312566,12715727,11311138,12715726,11311797,12715725
63488,11521557,13016618,11521193,13016602,11521751,13016597
