0,5047788,3687044,5047189,3687086,5046230,3687058
2048,5256232,3987139,5256828,3987168,5253208,3987165
4096,5464300,4287265,5464913,4287269,5464493,4287272
6144,5673110,4587459,5674406,4587461,5673699,4587474
8192,5881095,4887812,5881546,4887806,5882378,4887793
10240,6091867,5188310,6090100,5188312,6088804,5188311
12288,6295950,5488897,6297175,5488891,6297702,5488884
14336,6507828,5789808,6507659,5789836,6507245,5789820
16384,6717295,6090919,6716748,6090895,6718312,6090898
18432,6924796,6391986,6926038,6391974,6928157,6391982
20480,7136319,6693108,7134134,6693131,7135188,6693132
22528,7343856,6994272,7344340,6994278,7343704,6994275
24576,7550522,7295435,7552782,7295446,7552035,7295450
26624,7760650,7596603,7762192,7596594,7760905,7596622
28672,7971048,7897766,7972205,7897762,7971314,7897756
30720,8180282,8198927,8177607,8198922,8179378,8198937
32768,8387494,8500034,8389050,8500050,8388976,8500043
34816,8595200,8801234,8595301,8801229,8597513,8801243
36864,8804747,9102473,8805707,9102473,8805354,9102474
38912,9013884,9403663,9013657,9403658,9013854,9403641
40960,9223675,9704804,9223650,9704795,9224270,9704796
43008,9432992,10006001,9432902,10005995,9433260,10006002
45056,9641402,10307156,9642361,10307137,9641328,10307126
47104,9850072,10608257,9850810,10608248,9849592,10608273
49152,10059405,10909360,10057364,10909371,10058450,10909374
51200,10267914,11210451,10268703,11210455,10269700,11210454
53248,10476502,11511498,10476680,11511522,10478574,11511529
55296,10685168,11812512,10685263,11812512,10683617,11812505
57344,10894401,12113382,10895869,12113376,10894315,12113384
59392,11103897,12414335,11105539,12414319,11104827,12414311
61440,11313382,12715191,11312836,12715179,11313008,12715204
63488,11519678,13016047,11520002,13016034,11521543,13016033
