0,5983445,5032936,5984397,5032910,5983460,5032909
2048,6127100,5242700,6131083,5242700,6127669,5242693
4096,6274718,5452443,6274644,5452450,6274961,5452446
6144,6419854,5662234,6419382,5662226,6421998,5662224
8192,6564351,5871948,6565915,5871959,6566629,5871951
10240,6711573,6081678,6711694,6081690,6711351,6081684
12288,6857256,6291493,6857191,6291498,6856849,6291509
14336,7000495,6501256,7000752,6501268,7003391,6501255
16384,7146849,6710970,7147894,6710966,7147784,6710967
18432,7292942,6920693,7292870,6920682,7293251,6920683
20480,7440147,7130380,7439471,7130382,7439480,7130385
22528,7584482,7340113,7584425,7340104,7585949,7340123
24576,7730181,7549836,7730085,7549842,7729282,7549833
26624,7876477,7759555,7875309,7759564,7877307,7759561
28672,8021520,7969255,8021452,7969264,8021669,7969265
30720,8166267,8178947,8166487,8178938,8166661,8178961
32768,8311849,8388709,8311011,8388714,8312495,8388695
34816,8457737,8598434,8457316,8598430,8455758,8598431
36864,8604439,8808136,8603694,8808132,8601582,8808124
38912,8749022,9017824,8747267,9017822,8747045,9017828
40960,8893633,9227489,8894084,9227489,8894784,9227500
43008,9040626,9437169,9038693,9437182,9039504,9437184
45056,9184312,9646892,9183648,9646903,9185143,9646905
47104,9330108,9856625,9329468,9856636,9329454,9856634
49152,9476028,10066344,9476453,10066351,9476416,10066349
51200,9622013,10276017,9621825,10276014,9623014,10276015
53248,9767822,10485727,9766689,10485729,9767286,10485727
55296,9912278,10695396,9912906,10695387,9912083,10695397
57344,10058806,10905103,10058147,10905099,10059911,10905104
59392,10203017,11114784,10203358,11114781,10202368,11114785
61440,10347453,11324493,10348346,11324488,10347569,11324483
63488,10495449,11534167,10494419,11534170,10494538,11534182
