dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,5984944,5032992,4987410,5984415,5032976,4987396,5983117,5032982,4987400,5983945,5032976,4987396,5984901,5032960,4987400,5984962,5032962,4987387,5984207,5032954,4987388,5983597,5032952,4987376,5983856,5032946,4987378,5982889,5032938,4987378
256,6002530,5059192,5013978,6003474,5059184,5013986,6001803,5059185,5013992,6001952,5059182,5013992,6001670,5059191,5013976,6003200,5059180,5013984,6001682,5059180,5013982,6002840,5059178,5013976,6003634,5059180,5013970,6003354,5059172,5013966
512,6020562,5085388,5040558,6021692,5085390,5040570,6019004,5085390,5040566,6020993,5085396,5040558,6020574,5085400,5040558,6021214,5085394,5040556,6020492,5085388,5040558,6019382,5085378,5040542,6020639,5085392,5040548,6019716,5085390,5040542
768,6038485,5111590,5067104,6038967,5111574,5067126,6040106,5111578,5067116,6040534,5111591,5067112,6037416,5111580,5067120,6041528,5111580,5067110,6038596,5111574,5067104,6038995,5111586,5067094,6037167,5111578,5067110,6039961,5111574,5067098
1024,6057064,5137780,5093676,6056616,5137779,5093676,6057458,5137776,5093680,6057252,5137798,5093672,6055526,5137794,5093678,6058375,5137771,5093674,6057514,5137776,5093655,6058703,5137775,5093672,6054678,5137783,5093678,6055974,5137779,5093670
1280,6072708,5164031,5120303,6075654,5164031,5120302,6077079,5164032,5120296,6076860,5164025,5120300,6075869,5164037,5120298,6074510,5164038,5120296,6073828,5164046,5120296,6076187,5164037,5120294,6074688,5164036,5120288,6076747,5164038,5120292
1536,6091327,5190250,5146893,6094280,5190266,5146884,6092552,5190254,5146885,6092670,5190250,5146884,6095116,5190256,5146895,6092370,5190256,5146886,6095022,5190238,5146886,6092026,5190254,5146866,6092412,5190250,5146879,6094026,5190254,5146877
1792,6113262,5216439,5173428,6111548,5216449,5173436,6114062,5216438,5173426,6110832,5216432,5173426,6112074,5216435,5173420,6110341,5216452,5173428,6110212,5216440,5173426,6111918,5216440,5173420,6111798,5216427,5173416,6110992,5216435,5173404
2048,6131150,5242652,5200007,6129975,5242658,5200011,6130416,5242652,5200004,6128456,5242650,5200006,6130850,5242642,5199998,6128298,5242650,5199998,6132196,5242638,5200002,6129270,5242652,5199994,6130151,5242654,5199990,6130230,5242642,5199990
2304,6148978,5268898,5226600,6145911,5268896,5226608,6145634,5268894,5226593,6147546,5268878,5226601,6146368,5268906,5226597,6146922,5268892,5226602,6148822,5268879,5226593,6148966,5268886,5226603,6148177,5268890,5226592,6146620,5268890,5226596
