dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
6144,6419690,5662200,5626646,6418578,5662206,5626644,6419602,5662187,5626638,6419302,5662207,5626642,6419833,5662199,5626628,6419864,5662209,5626635,6419222,5662202,5626632,6420802,5662203,5626638,6417838,5662194,5626630,6419710,5662191,5626626
6400,6439656,5688422,5653192,6438470,5688415,5653200,6437752,5688412,5653190,6438688,5688414,5653196,6438435,5688421,5653182,6436544,5688422,5653188,6438320,5688413,5653208,6438595,5688432,5653210,6437168,5688419,5653192,6437642,5688419,5653202
6656,6456130,5714662,5679788,6455148,5714668,5679794,6456358,5714666,5679800,6456194,5714668,5679784,6454826,5714656,5679796,6456428,5714664,5679790,6455862,5714678,5679796,6455252,5714668,5679788,6456298,5714672,5679796,6455098,5714666,5679780
6912,6471861,5740888,5706360,6474368,5740894,5706298,6474780,5740898,5706316,6476105,5740892,5706336,6474526,5740878,5706304,6475313,5740904,5706314,6474106,5740902,5706361,6472190,5740886,5706316,6475532,5740896,5706298,6472354,5740884,5706322
7168,6493392,5767078,5732816,6491198,5767076,5732833,6493322,5767076,5732822,6494153,5767072,5732824,6493352,5767078,5732828,6493002,5767078,5732833,6492428,5767070,5732834,6490946,5767072,5732832,6492030,5767072,5732834,6492748,5767066,5732831
7424,6512327,5793274,5759406,6510747,5793286,5759404,6510530,5793282,5759395,6511534,5793298,5759393,6510488,5793296,5759396,6511088,5793300,5759386,6509906,5793288,5759400,6509533,5793298,5759402,6511002,5793288,5759412,6510690,5793294,5759402
7680,6529168,5819526,5785992,6528692,5819546,5786002,6528307,5819556,5786000,6531468,5819534,5786002,6527830,5819546,5786004,6528797,5819545,5786001,6529156,5819542,5786010,6528306,5819550,5785997,6528192,5819542,5786000,6531224,5819540,5786002
7936,6548552,5845765,5812576,6546716,5845770,5812578,6547291,5845777,5812588,6547473,5845772,5812586,6546723,5845770,5812580,6547067,5845778,5812584,6546072,5845785,5812580,6545684,5845771,5812574,6547136,5845769,5812580,6548407,5845769,5812576
8192,6565398,5871961,5839109,6565348,5871949,5839107,6565128,5871947,5839106,6565462,5871958,5839105,6565998,5871948,5839112,6566666,5871953,5839116,6565817,5871950,5839111,6565610,5871953,5839104,6565938,5871959,5839108,6563815,5871947,5839103
8448,6581962,5898172,5865684,6583594,5898167,5865670,6581316,5898177,5865676,6584411,5898176,5865668,6583756,5898183,5865680,6583102,5898182,5865674,6584930,5898178,5865664,6583527,5898174,5865670,6582040,5898163,5865672,6583822,5898172,5865674
8704,6600244,5924400,5892250,6602956,5924402,5892251,6600626,5924396,5892257,6602740,5924410,5892248,6602611,5924408,5892250,6601347,5924412,5892252,6600445,5924410,5892258,6601751,5924402,5892259,6602438,5924394,5892257,6600934,5924402,5892255
8960,6621229,5950628,5918840,6620272,5950638,5918832,6620037,5950632,5918834,6619458,5950634,5918830,6620294,5950644,5918830,6620580,5950630,5918826,6621295,5950636,5918830,6620782,5950632,5918828,6619788,5950644,5918828,6620963,5950634,5918832
9216,6638779,5976828,5945368,6639802,5976818,5945360,6638378,5976814,5945361,6637966,5976818,5945352,6638310,5976816,5945374,6639306,5976812,5945369,6638201,5976818,5945352,6638000,5976808,5945369,6637474,5976814,5945364,6638248,5976808,5945375
9472,6656788,6003034,5971944,6655857,6003030,5971938,6655998,6003055,5971934,6655800,6003050,5971928,6654083,6003038,5971930,6657962,6003044,5971942,6656023,6003032,5971938,6656515,6003050,5971940,6657670,6003042,5971942,6656374,6003040,5971944
9728,6673661,6029288,5998540,6674442,6029291,5998545,6674553,6029297,5998539,6675579,6029296,5998544,6672941,6029295,5998545,6674775,6029293,5998540,6674614,6029298,5998548,6673612,6029289,5998544,6675163,6029295,5998550,6674652,6029288,5998556
9984,6694109,6055518,6025126,6693217,6055519,6025130,6691615,6055512,6025136,6690266,6055512,6025122,6692866,6055517,6025128,6691536,6055522,6025118,6691772,6055528,6025122,6692524,6055514,6025130,6693592,6055515,6025128,6691656,6055509,6025124
10240,6712002,6081698,6051664,6709907,6081699,6051668,6710365,6081700,6051667,6711238,6081701,6051652,6710250,6081703,6051662,6710713,6081702,6051664,6711296,6081685,6051654,6711928,6081693,6051658,6711374,6081688,6051667,6711616,6081678,6051652
