dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,5982952,5032988,4988925,5982696,5032964,4988912,5983207,5032950,4988906,5982596,5032962,4988901,5981150,5032950,4988893,5981320,5032938,4988894,5981427,5032942,4988896,5982262,5032942,4988894,5980960,5032938,4988890,5981930,5032940,4988896
256,6001844,5059174,5015487,6000439,5059162,5015477,6000916,5059145,5015474,5999122,5059151,5015469,5999315,5059152,5015473,6000738,5059141,5015457,5999044,5059141,5015463,5998468,5059151,5015468,5998754,5059146,5015459,5999818,5059146,5015465
512,6017542,5085378,5042051,6019222,5085368,5042048,6017932,5085364,5042047,6018910,5085380,5042041,6016324,5085367,5042043,6019372,5085363,5042042,6016004,5085356,5042045,6018924,5085361,5042043,6017321,5085375,5042032,6017443,5085366,5042035
768,6036210,5111548,5068606,6038144,5111562,5068612,6036304,5111566,5068591,6036706,5111558,5068604,6035106,5111556,5068601,6036263,5111554,5068586,6037262,5111560,5068595,6037809,5111560,5068591,6035628,5111542,5068594,6036849,5111558,5068589
1024,6054586,5137774,5095161,6056310,5137766,5095153,6056853,5137761,5095167,6054784,5137762,5095158,6056266,5137768,5095158,6054420,5137774,5095156,6056268,5137766,5095159,6054838,5137758,5095152,6054080,5137762,5095155,6053490,5137756,5095156
1280,6073112,5164034,5121774,6071670,5164024,5121780,6075302,5164010,5121771,6073208,5164014,5121775,6072741,5164020,5121762,6072743,5164020,5121772,6073836,5164020,5121769,6072852,5164008,5121766,6075120,5164006,5121760,6072379,5164026,5121773
1536,6090668,5190225,5148339,6089430,5190227,5148332,6091730,5190231,5148336,6090892,5190224,5148336,6092295,5190222,5148337,6092209,5190220,5148339,6091656,5190232,5148347,6091531,5190229,5148340,6092084,5190244,5148333,6092836,5190229,5148342
1792,6109626,5216426,5174893,6111570,5216434,5174904,6110403,5216430,5174900,6110692,5216434,5174892,6109122,5216424,5174899,6109470,5216424,5174890,6109681,5216428,5174897,6107178,5216432,5174898,6109682,5216416,5174891,6107936,5216432,5174895
2048,6128559,5242648,5201469,6128130,5242656,5201466,6127368,5242632,5201455,6127756,5242654,5201468,6128006,5242650,5201449,6126768,5242630,5201451,6128712,5242652,5201463,6129082,5242642,5201461,6127550,5242644,5201454,6128050,5242634,5201458
2304,6145298,5268845,5228025,6147318,5268844,5228027,6144990,5268840,5228024,6144659,5268837,5228025,6144797,5268847,5228012,6146018,5268837,5228006,6145226,5268833,5228012,6148768,5268833,5228011,6147058,5268831,5228016,6144754,5268830,5228023
2560,6164616,5295072,5254615,6163670,5295068,5254602,6163728,5295060,5254598,6163200,5295069,5254606,6164186,5295067,5254606,6164071,5295067,5254613,6163866,5295064,5254606,6162918,5295072,5254614,6162606,5295065,5254610,6162758,5295077,5254601
2816,6183328,5321258,5281170,6182836,5321270,5281161,6182187,5321264,5281157,6183402,5321268,5281148,6182475,5321258,5281152,6182378,5321260,5281156,6183658,5321258,5281141,6182868,5321260,5281151,6181452,5321266,5281162,6180988,5321262,5281150
3072,6199458,5347480,5307731,6201172,5347494,5307715,6200400,5347482,5307733,6199646,5347478,5307727,6201418,5347480,5307721,6202238,5347484,5307726,6200238,5347486,5307724,6202086,5347484,5307719,6200888,5347484,5307717,6199546,5347492,5307710
3328,6217864,5373714,5334316,6216994,5373730,5334314,6218412,5373730,5334324,6219328,5373726,5334326,6217742,5373734,5334326,6215942,5373732,5334332,6217582,5373730,5334324,6219452,5373724,5334324,6218668,5373736,5334319,6217915,5373730,5334313
3584,6237687,5399940,5360906,6237840,5399954,5360916,6237134,5399950,5360904,6238230,5399950,5360904,6237119,5399954,5360916,6236131,5399952,5360898,6236283,5399958,5360910,6237304,5399958,5360916,6234452,5399954,5360902,6235701,5399966,5360900
3840,6256360,5426149,5387462,6255623,5426158,5387458,6253063,5426152,5387462,6255993,5426143,5387444,6255258,5426148,5387451,6256204,5426145,5387455,6254744,5426137,5387446,6253794,5426147,5387451,6255248,5426148,5387456,6254622,5426156,5387455
4096,6273312,5452386,5414034,6272950,5452376,5414048,6274094,5452389,5414036,6273369,5452372,5414032,6273799,5452372,5414036,6273902,5452368,5414034,6274110,5452378,5414026,6274039,5452374,5414021,6274148,5452379,5414022,6274956,5452358,5414030
4352,6289602,5478618,5440618,6292572,5478608,5440612,6290482,5478592,5440616,6292018,5478600,5440606,6290714,5478602,5440618,6289608,5478606,5440622,6292904,5478608,5440610,6291686,5478602,5440608,6290782,5478600,5440620,6293874,5478598,5440602
4608,6311719,5504828,5467206,6310069,5504830,5467202,6309826,5504838,5467198,6310520,5504832,5467194,6309025,5504826,5467192,6309769,5504836,5467188,6309816,5504832,5467190,6310048,5504834,5467190,6307325,5504826,5467204,6310720,5504824,5467194
