dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,5983235,5033144,4988428,5984329,5033116,4988414,5983109,5033110,4988390,5983910,5033095,4988398,5982586,5033091,4988400,5984884,5033091,4988384,5984236,5033101,4988390,5983288,5033093,4988390,5983924,5033087,4988381,5982473,5033092,4988388
256,6002123,5059309,5014972,6001152,5059301,5014964,6001314,5059305,5014966,6001018,5059303,5014954,6001068,5059300,5014952,6000286,5059300,5014944,6000306,5059296,5014950,6000977,5059306,5014950,6001140,5059296,5014950,6002464,5059303,5014958
512,6019824,5085528,5041543,6021334,5085526,5041547,6019647,5085518,5041557,6018796,5085518,5041536,6019647,5085514,5041516,6019009,5085522,5041539,6017604,5085506,5041528,6021042,5085512,5041526,6019830,5085520,5041526,6020516,5085502,5041522
768,6038830,5111692,5068075,6036486,5111694,5068058,6039030,5111694,5068061,6037904,5111698,5068073,6037937,5111708,5068054,6037610,5111694,5068066,6035920,5111700,5068053,6035516,5111698,5068051,6036429,5111676,5068070,6037189,5111688,5068060
1024,6056890,5137920,5094652,6055646,5137920,5094644,6055418,5137918,5094650,6055618,5137908,5094646,6055496,5137920,5094629,6056245,5137908,5094642,6056648,5137916,5094644,6056362,5137912,5094639,6055721,5137918,5094641,6055114,5137918,5094626
1280,6075321,5164140,5121228,6072214,5164148,5121234,6074090,5164152,5121228,6074418,5164134,5121228,6074312,5164152,5121230,6074942,5164146,5121236,6072794,5164144,5121232,6075162,5164138,5121236,6074314,5164138,5121228,6074272,5164144,5121226
1536,6093520,5190366,5147790,6091592,5190366,5147802,6092574,5190356,5147794,6091480,5190354,5147797,6092006,5190350,5147786,6090784,5190360,5147798,6092544,5190364,5147793,6093306,5190356,5147781,6092534,5190366,5147790,6091229,5190358,5147785
1792,6109200,5216533,5174337,6111034,5216546,5174341,6109594,5216535,5174335,6109606,5216534,5174331,6108484,5216553,5174326,6109084,5216535,5174331,6109738,5216544,5174329,6109233,5216531,5174331,6110276,5216531,5174326,6111381,5216546,5174313
2048,6129148,5242753,5200908,6128471,5242765,5200900,6128256,5242747,5200898,6129326,5242754,5200908,6127754,5242748,5200896,6129474,5242754,5200888,6127145,5242756,5200886,6129187,5242752,5200881,6127004,5242755,5200889,6127114,5242754,5200885
2304,6144916,5269002,5227514,6146674,5269005,5227504,6145689,5269006,5227494,6146816,5268993,5227507,6146593,5269006,5227506,6146600,5269000,5227496,6144566,5268999,5227507,6145363,5269006,5227504,6149174,5269008,5227507,6145943,5268994,5227502
2560,6165396,5295218,5254078,6163628,5295219,5254078,6165878,5295229,5254070,6165331,5295224,5254081,6163399,5295225,5254073,6165092,5295219,5254068,6166256,5295218,5254070,6165686,5295213,5254067,6164020,5295229,5254081,6164026,5295226,5254082
2816,6183792,5321415,5280624,6183968,5321399,5280616,6183544,5321408,5280616,6181242,5321410,5280599,6183260,5321408,5280616,6182116,5321398,5280625,6181784,5321414,5280619,6183542,5321419,5280621,6183704,5321406,5280614,6183767,5321396,5280625
3072,6201182,5347636,5307200,6200806,5347636,5307200,6201545,5347627,5307188,6203162,5347644,5307194,6201674,5347616,5307192,6201384,5347629,5307196,6200339,5347640,5307194,6200296,5347647,5307192,6198849,5347629,5307192,6200168,5347635,5307180
3328,6219201,5373879,5333793,6221526,5373872,5333791,6218574,5373879,5333790,6218306,5373884,5333792,6217386,5373869,5333787,6219168,5373875,5333795,6218986,5373868,5333785,6218760,5373870,5333779,6219046,5373857,5333768,6218406,5373861,5333775
3584,6237444,5400107,5360370,6235410,5400082,5360382,6236950,5400074,5360360,6237807,5400090,5360368,6237240,5400085,5360370,6238392,5400089,5360368,6236374,5400083,5360370,6237301,5400080,5360366,6237640,5400100,5360372,6236320,5400092,5360364
3840,6255898,5426266,5386904,6257556,5426254,5386896,6257454,5426270,5386898,6256309,5426268,5386900,6256576,5426266,5386896,6254629,5426280,5386908,6254802,5426278,5386888,6257024,5426282,5386900,6254831,5426288,5386910,6256559,5426266,5386890
4096,6275214,5452498,5413476,6272840,5452492,5413474,6273973,5452504,5413472,6274580,5452506,5413472,6274920,5452506,5413474,6275334,5452500,5413476,6275198,5452490,5413472,6274223,5452498,5413472,6272714,5452504,5413484,6272972,5452498,5413470
4352,6292245,5478736,5440065,6291854,5478738,5440077,6291976,5478728,5440063,6292260,5478722,5440053,6293421,5478732,5440053,6292720,5478734,5440056,6293118,5478724,5440066,6292390,5478738,5440067,6292012,5478722,5440066,6294474,5478736,5440046
4608,6309622,5504954,5466634,6309207,5504956,5466642,6310510,5504970,5466640,6310342,5504960,5466642,6310396,5504958,5466636,6310332,5504966,5466656,6310166,5504966,5466644,6309709,5504962,5466628,6310642,5504952,5466636,6309840,5504956,5466632
