dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,5048105,3688448,3624178,5047642,3688474,3624175,5045823,3688456,3624170,5048131,3688510,3624179,5047470,3688494,3624179,5046146,3688496,3624184,5047778,3688494,3624183,5047794,3688524,3624182,5048337,3688500,3624168,5046845,3688518,3624189
256,5074506,3725988,3662283,5073762,3726002,3662290,5073962,3726012,3662302,5072626,3725996,3662277,5074084,3726009,3662302,5073884,3726034,3662299,5073388,3726028,3662288,5073780,3726016,3662304,5072208,3726045,3662300,5072168,3726018,3662296
512,5100750,3763525,3700431,5101971,3763550,3700421,5098824,3763518,3700432,5098752,3763533,3700401,5098224,3763552,3700400,5100040,3763551,3700423,5099242,3763534,3700391,5099018,3763554,3700421,5100499,3763533,3700412,5099770,3763551,3700417
768,5127346,3801043,3738520,5124270,3801035,3738532,5126656,3801041,3738535,5125970,3801047,3738519,5125947,3801044,3738539,5127895,3801035,3738531,5126114,3801056,3738513,5125006,3801037,3738498,5125862,3801055,3738526,5126492,3801046,3738528
1024,5150352,3838500,3776568,5151562,3838502,3776580,5150724,3838495,3776580,5151122,3838517,3776562,5152374,3838490,3776553,5151537,3838486,3776570,5151008,3838510,3776580,5151348,3838519,3776560,5151212,3838512,3776564,5149429,3838513,3776572
1280,5178455,3876016,3814641,5178380,3875999,3814633,5178484,3876001,3814653,5178549,3876013,3814617,5177103,3876001,3814641,5177736,3875984,3814635,5175923,3876002,3814623,5178276,3875992,3814647,5177732,3875995,3814643,5179646,3876004,3814638
1536,5203710,3913580,3852790,5205074,3913570,3852800,5203056,3913566,3852790,5204824,3913556,3852786,5203480,3913556,3852771,5204106,3913572,3852777,5205506,3913564,3852775,5202898,3913559,3852784,5203898,3913566,3852786,5205688,3913577,3852777
1792,5229705,3951073,3890864,5230393,3951051,3890858,5229118,3951038,3890852,5228458,3951050,3890860,5230090,3951051,3890876,5230274,3951046,3890841,5229680,3951055,3890842,5229448,3951036,3890853,5229100,3951033,3890831,5230592,3951036,3890843
2048,5256394,3988498,3928917,5256876,3988533,3928918,5255728,3988514,3928914,5256426,3988539,3928914,5254068,3988506,3928918,5255526,3988539,3928927,5255912,3988543,3928906,5256846,3988518,3928911,5257442,3988525,3928895,5255576,3988524,3928903
2304,5284260,4026032,3967022,5282411,4026028,3966980,5282064,4026033,3966982,5282118,4026021,3966997,5283250,4026047,3967017,5280582,4026047,3967007,5282167,4026043,3967000,5282054,4026046,3967005,5281130,4026045,3967001,5281598,4026044,3966994
