dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,5047155,3687510,3621857,5047948,3687551,3621870,5048552,3687542,3621863,5046714,3687581,3621864,5049907,3687578,3621879,5045485,3687598,3621884,5047054,3687582,3621908,5050182,3687580,3621894,5047606,3687589,3621894,5047738,3687584,3621912
256,5074760,3725062,3659986,5072258,3725046,3659960,5073426,3725080,3659997,5071723,3725088,3659991,5073628,3725062,3660004,5073632,3725074,3659976,5072737,3725073,3660002,5073788,3725069,3659980,5074536,3725094,3660019,5075527,3725098,3660021
512,5099336,3762622,3698145,5101116,3762610,3698138,5099134,3762625,3698128,5097886,3762621,3698136,5098679,3762608,3698132,5099436,3762607,3698134,5099768,3762608,3698154,5099462,3762629,3698125,5099171,3762619,3698144,5099834,3762613,3698121
768,5126278,3800154,3736275,5126596,3800111,3736281,5126518,3800131,3736262,5124612,3800154,3736290,5126247,3800131,3736250,5125248,3800135,3736288,5125716,3800152,3736272,5125160,3800140,3736266,5126239,3800140,3736261,5124286,3800148,3736285
1024,5151957,3837657,3774378,5153476,3837653,3774428,5150830,3837683,3774407,5150604,3837665,3774413,5151818,3837671,3774402,5151198,3837681,3774407,5151008,3837671,3774370,5151120,3837658,3774393,5152595,3837684,3774386,5153615,3837671,3774396
1280,5174624,3875166,3812540,5177922,3875195,3812535,5177750,3875185,3812546,5177942,3875181,3812532,5178269,3875189,3812523,5176504,3875190,3812529,5178754,3875177,3812522,5177704,3875181,3812508,5176694,3875175,3812514,5177946,3875197,3812504
1536,5203886,3912642,3850592,5203110,3912647,3850558,5205008,3912601,3850568,5203590,3912653,3850566,5206112,3912623,3850575,5204274,3912668,3850558,5203668,3912638,3850584,5204072,3912638,3850546,5204508,3912637,3850562,5203004,3912668,3850564
1792,5230892,3950155,3888654,5230654,3950146,3888666,5230346,3950144,3888665,5230174,3950148,3888666,5230428,3950144,3888669,5228948,3950161,3888692,5230374,3950160,3888672,5229108,3950167,3888676,5229344,3950157,3888661,5228134,3950150,3888686
2048,5257064,3987680,3926793,5258437,3987674,3926808,5256484,3987706,3926802,5257548,3987709,3926800,5256363,3987705,3926789,5256900,3987692,3926814,5254810,3987682,3926796,5255676,3987661,3926796,5255160,3987673,3926804,5255428,3987704,3926794
2304,5282946,4025214,3964906,5281695,4025206,3964896,5280719,4025204,3964918,5280746,4025225,3964907,5280906,4025190,3964916,5283301,4025188,3964909,5280990,4025198,3964910,5280431,4025192,3964930,5281916,4025244,3964934,5281783,4025186,3964900
2560,5307728,4062673,4002946,5307469,4062673,4002950,5309638,4062693,4002944,5308127,4062681,4002993,5309849,4062685,4002953,5308078,4062696,4002965,5310246,4062674,4002962,5309824,4062656,4002946,5308337,4062662,4002903,5307668,4062650,4002957
2816,5334846,4100184,4041047,5334429,4100173,4041081,5334080,4100206,4041043,5334170,4100206,4041058,5334100,4100220,4041066,5332448,4100175,4041062,5336568,4100198,4041063,5334414,4100195,4041053,5334164,4100194,4041081,5333064,4100192,4041019
3072,5361605,4137749,4079190,5362220,4137741,4079230,5360761,4137753,4079186,5360571,4137718,4079198,5360482,4137738,4079202,5361254,4137741,4079180,5361789,4137732,4079198,5359900,4137726,4079188,5360350,4137754,4079173,5360620,4137735,4079166
3328,5388864,4175286,4117277,5385090,4175267,4117309,5388508,4175290,4117313,5385883,4175245,4117288,5387974,4175268,4117300,5387690,4175242,4117307,5387196,4175273,4117315,5386456,4175258,4117303,5386310,4175279,4117299,5384482,4175257,4117302
3584,5413802,4212738,4155368,5412838,4212719,4155351,5411986,4212740,4155352,5413298,4212728,4155359,5411823,4212730,4155338,5411342,4212723,4155351,5410468,4212722,4155322,5412440,4212738,4155360,5412120,4212714,4155318,5413550,4212732,4155344
3840,5437026,4250276,4193411,5438922,4250238,4193433,5437868,4250250,4193450,5438645,4250232,4193424,5439298,4250240,4193386,5440858,4250226,4193445,5438430,4250212,4193422,5439646,4250262,4193411,5438312,4250240,4193439,5437941,4250250,4193402
4096,5464904,4287781,4231533,5464196,4287784,4231530,5463445,4287785,4231517,5464867,4287788,4231540,5463816,4287764,4231556,5465181,4287787,4231544,5465699,4287774,4231542,5463368,4287786,4231542,5464357,4287800,4231538,5465587,4287774,4231544
4352,5491216,4325365,4269700,5492498,4325351,4269704,5490764,4325365,4269705,5490542,4325346,4269692,5493472,4325355,4269673,5491125,4325363,4269679,5490912,4325365,4269695,5489396,4325355,4269683,5490124,4325355,4269693,5490356,4325333,4269650
4608,5516934,4362874,4307800,5516000,4362888,4307799,5517737,4362912,4307812,5517110,4362878,4307808,5516556,4362882,4307808,5518116,4362894,4307784,5516539,4362890,4307793,5519800,4362906,4307802,5517242,4362920,4307798,5518485,4362852,4307767
4864,5542358,4400360,4345843,5543796,4400352,4345824,5541810,4400358,4345847,5541419,4400362,4345833,5542983,4400360,4345832,5545030,4400356,4345829,5542914,4400364,4345843,5542404,4400396,4345833,5543744,4400376,4345853,5542316,4400354,4345851
5120,5570203,4437887,4383930,5568567,4437897,4383910,5570849,4437873,4383922,5570041,4437875,4383940,5568660,4437888,4383918,5568614,4437922,4383930,5569173,4437892,4383932,5569209,4437884,4383928,5569470,4437864,4383894,5569497,4437855,4383930
5376,5594384,4475434,4422030,5596730,4475414,4422042,5595586,4475430,4422020,5596816,4475432,4422061,5595433,4475454,4422026,5594340,4475424,4422012,5595482,4475416,4422022,5594948,4475418,4422028,5595966,4475434,4422014,5595272,4475448,4422016
5632,5622108,4512998,4460152,5622502,4512973,4460123,5622061,4512992,4460133,5621672,4512969,4460149,5622778,4512968,4460154,5621263,4512948,4460152,5620572,4513002,4460123,5619550,4512962,4460157,5622774,4512986,4460156,5623180,4512979,4460176
5888,5646822,4550488,4498182,5647944,4550472,4498201,5644326,4550439,4498187,5646037,4550462,4498164,5647552,4550476,4498160,5647132,4550456,4498140,5646320,4550437,4498164,5647132,4550423,4498196,5648986,4550429,4498177,5647375,4550431,4498144
6144,5673103,4587988,4536250,5674166,4587993,4536271,5671982,4587968,4536274,5674214,4587970,4536252,5674884,4588008,4536235,5671814,4587995,4536235,5672744,4587973,4536242,5672158,4587964,4536266,5675010,4587950,4536269,5675236,4588000,4536255
6400,5698606,4625570,4574428,5700280,4625564,4574414,5699624,4625585,4574404,5700272,4625576,4574448,5700100,4625558,4574422,5701188,4625591,4574424,5699474,4625572,4574428,5699426,4625570,4574414,5700094,4625589,4574398,5700282,4625564,4574410
6656,5725198,4663090,4612531,5724390,4663106,4612516,5726304,4663109,4612525,5726044,4663120,4612522,5726150,4663109,4612531,5725355,4663134,4612516,5723676,4663132,4612511,5725910,4663112,4612519,5726604,4663109,4612522,5725582,4663109,4612508
6912,5751869,4700596,4650544,5751812,4700588,4650544,5751668,4700584,4650544,5750812,4700606,4650546,5752388,4700602,4650566,5751536,4700616,4650546,5751124,4700584,4650540,5751136,4700596,4650546,5752109,4700610,4650552,5752150,4700606,4650555
7168,5778808,4738137,4688648,5777850,4738142,4688645,5775858,4738151,4688645,5776648,4738130,4688650,5778743,4738158,4688625,5776554,4738128,4688629,5778454,4738162,4688633,5778135,4738154,4688632,5776814,4738147,4688645,5774998,4738127,4688651
7424,5803851,4775688,4726708,5805379,4775672,4726709,5802312,4775666,4726723,5803121,4775660,4726683,5804004,4775678,4726709,5804551,4775660,4726708,5805259,4775676,4726717,5804006,4775662,4726722,5803074,4775666,4726691,5803195,4775708,4726718
7680,5828656,4813232,4764818,5831491,4813236,4764826,5830173,4813219,4764814,5830246,4813185,4764800,5827922,4813186,4764836,5829223,4813229,4764806,5829162,4813225,4764781,5830893,4813201,4764781,5830555,4813210,4764771,5827822,4813191,4764788
7936,5856746,4850771,4802872,5856934,4850754,4802890,5854888,4850764,4802884,5855552,4850774,4802886,5853478,4850752,4802904,5858681,4850774,4802870,5855628,4850780,4802910,5856073,4850783,4802904,5856800,4850752,4802892,5854184,4850784,4802900
8192,5881065,4888273,4840903,5882553,4888251,4840863,5881652,4888287,4840905,5885908,4888250,4840872,5880488,4888283,4840877,5881275,4888267,4840881,5882629,4888276,4840901,5881796,4888272,4840898,5882008,4888287,4840899,5883402,4888238,4840878
8448,5909605,4925812,4878939,5908694,4925833,4878966,5909108,4925806,4878957,5908637,4925828,4878954,5908832,4925840,4878966,5908941,4925806,4878962,5908238,4925786,4878962,5907888,4925796,4878966,5908580,4925837,4878974,5907576,4925826,4878982
