dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,5812208,5055206,5011250,5812307,5055163,5011239,5813207,5055162,5011235,5811753,5055156,5011227,5812574,5055161,5011232
1024,5891772,5159317,5116818,5891245,5159310,5116810,5890518,5159307,5116824,5889517,5159305,5116821,5890960,5159305,5116815
2048,5970229,5263469,5222435,5967963,5263474,5222428,5968072,5263466,5222420,5968201,5263469,5222426,5967965,5263464,5222415
3072,6046953,5367642,5328016,6046246,5367637,5328012,6048182,5367621,5328010,6048011,5367627,5328005,6048408,5367631,5328012
4096,6128051,5471822,5433611,6127097,5471817,5433615,6126800,5471817,5433612,6126081,5471818,5433607,6125746,5471818,5433597
5120,6204338,5575997,5539190,6205322,5575988,5539182,6205175,5576002,5539195,6204464,5576004,5539192,6205000,5575989,5539184
6144,6283453,5680187,5644730,6283865,5680182,5644724,6282744,5680188,5644731,6282853,5680183,5644740,6285375,5680179,5644729
7168,6360842,5784355,5750309,6361556,5784351,5750305,6360030,5784366,5750294,6362720,5784373,5750306,6362575,5784369,5750300
8192,6441486,5888543,5855868,6441515,5888538,5855876,6439980,5888526,5855872,6441514,5888548,5855874,6439425,5888542,5855877
9216,6518097,5992710,5961453,6521111,5992692,5961445,6518630,5992704,5961457,6519926,5992704,5961455,6518338,5992700,5961445
10240,6597385,6096870,6067012,6597028,6096863,6067002,6597940,6096858,6066998,6598401,6096876,6066997,6598572,6096866,6066990
11264,6676123,6201079,6172571,6677882,6201081,6172571,6676998,6201078,6172557,6674664,6201075,6172575,6676751,6201073,6172569
12288,6756212,6305251,6278111,6756005,6305239,6278100,6756510,6305252,6278105,6755878,6305250,6278111,6755274,6305256,6278101
13312,6835950,6409408,6383612,6832134,6409402,6383609,6832786,6409405,6383608,6836546,6409409,6383622,6834103,6409411,6383614
14336,6912711,6513560,6489114,6910542,6513553,6489119,6910857,6513553,6489114,6912184,6513555,6489109,6912402,6513557,6489119
15360,6989945,6617741,6594628,6991291,6617724,6594623,6991015,6617728,6594633,6990072,6617734,6594641,6989549,6617713,6594627
16384,7069856,6721903,6700134,7069712,6721901,6700141,7068406,6721897,6700137,7068950,6721902,6700147,7069203,6721890,6700136
17408,7145906,6826052,6805648,7147984,6826054,6805637,7148200,6826058,6805640,7148052,6826057,6805634,7146850,6826062,6805661
18432,7227371,6930235,6911146,7226293,6930244,6911150,7227367,6930239,6911166,7226639,6930239,6911152,7228245,6930231,6911157
19456,7306092,7034374,7016647,7303968,7034381,7016642,7305030,7034379,7016636,7305955,7034374,7016642,7303978,7034379,7016632
20480,7382698,7138520,7122094,7383613,7138536,7122100,7384364,7138527,7122108,7385072,7138521,7122107,7384622,7138525,7122117
21504,7461908,7242669,7227572,7463256,7242670,7227566,7461894,7242675,7227574,7462553,7242673,7227562,7460442,7242675,7227565
22528,7541225,7346823,7333054,7541053,7346831,7333054,7540752,7346819,7333050,7540301,7346832,7333055,7539700,7346839,7333060
23552,7618423,7451002,7438515,7619202,7450989,7438520,7616863,7450989,7438522,7617527,7451004,7438515,7619908,7451002,7438524
