dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,5953896,5055848,5011446,5955550,5055835,5011442,5952529,5055834,5011429,5953099,5055825,5011430,5955425,5055826,5011411,5953860,5055811,5011412,5952986,5055819,5011412,5953313,5055814,5011414,5954321,5055808,5011405,5955056,5055808,5011406
256,5970561,5081864,5037816,5970911,5081870,5037819,5972224,5081866,5037826,5971145,5081862,5037828,5970777,5081860,5037824,5970787,5081858,5037818,5971203,5081866,5037820,5971285,5081861,5037821,5970038,5081852,5037815,5972255,5081857,5037808
512,5988715,5107894,5064211,5989213,5107888,5064208,5989133,5107898,5064214,5989685,5107880,5064214,5990224,5107882,5064195,5988740,5107886,5064207,5988474,5107893,5064193,5989448,5107888,5064206,5989809,5107893,5064200,5990392,5107877,5064200
768,6008552,5133901,5090569,6008111,5133895,5090573,6005731,5133889,5090558,6008787,5133885,5090566,6006328,5133894,5090562,6008357,5133886,5090558,6006731,5133882,5090551,6006481,5133900,5090573,6007711,5133877,5090562,6008053,5133881,5090551
1024,6025796,5159924,5116960,6026163,5159926,5116963,6026468,5159927,5116964,6024745,5159916,5116952,6025932,5159933,5116951,6025043,5159915,5116952,6025123,5159922,5116946,6026074,5159919,5116951,6026172,5159906,5116942,6025613,5159914,5116939
1280,6044702,5185972,5143353,6043670,5185970,5143365,6042226,5185958,5143354,6043353,5185966,5143351,6043061,5185957,5143351,6044328,5185957,5143346,6041974,5185958,5143347,6043480,5185966,5143333,6042393,5185949,5143340,6044064,5185971,5143353
1536,6060115,5212005,5169731,6061141,5212006,5169742,6061290,5212022,5169760,6061804,5212012,5169735,6061284,5212008,5169768,6062408,5212009,5169740,6061229,5211997,5169731,6060497,5212019,5169745,6061263,5211995,5169741,6059500,5211995,5169734
1792,6079647,5238020,5196090,6081985,5238016,5196116,6080562,5238011,5196114,6081140,5238019,5196102,6077744,5238010,5196122,6078389,5238008,5196098,6078792,5238019,5196101,6079232,5238012,5196101,6080634,5238021,5196093,6077964,5238018,5196113
2048,6096380,5264057,5222507,6097251,5264060,5222496,6098171,5264042,5222491,6096965,5264050,5222493,6096195,5264061,5222505,6095180,5264052,5222486,6097194,5264063,5222485,6096856,5264078,5222502,6095811,5264050,5222493,6097076,5264059,5222499
2304,6115492,5290105,5248910,6115474,5290120,5248906,6114366,5290106,5248925,6117211,5290104,5248903,6115553,5290110,5248918,6115077,5290110,5248914,6114644,5290103,5248909,6115073,5290118,5248900,6115891,5290115,5248910,6117089,5290120,5248913
