dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,6010885,5054788,5011229,6011755,5054762,5011202,6010770,5054763,5011207,6011534,5054748,5011206,6012286,5054755,5011197
1024,6082972,5158935,5116829,6084041,5158951,5116812,6084135,5158932,5116808,6084895,5158942,5116814,6083476,5158936,5116820
2048,6154972,5263137,5222433,6154233,5263146,5222435,6156110,5263132,5222437,6152937,5263133,5222433,6155146,5263139,5222441
3072,6226641,5367322,5328046,6225574,5367323,5328044,6227800,5367343,5328052,6226547,5367340,5328042,6227988,5367337,5328038
4096,6299381,5471519,5433624,6298301,5471517,5433632,6296755,5471521,5433618,6298188,5471519,5433617,6298392,5471521,5433609
5120,6371044,5575698,5539192,6370868,5575689,5539197,6370712,5575699,5539191,6371122,5575694,5539188,6370317,5575687,5539188
6144,6443649,5679911,5644791,6443606,5679915,5644781,6441525,5679912,5644787,6442561,5679917,5644797,6442204,5679910,5644794
7168,6514995,5784088,5750357,6513187,5784093,5750347,6514332,5784094,5750342,6513763,5784095,5750339,6515035,5784102,5750339
8192,6585354,5888292,5855848,6586370,5888290,5855842,6585830,5888290,5855844,6585099,5888290,5855854,6585639,5888289,5855844
9216,6657480,5992466,5961386,6656327,5992467,5961376,6656712,5992457,5961373,6658147,5992458,5961376,6658877,5992461,5961371
10240,6729064,6096653,6066919,6727794,6096650,6066942,6729366,6096655,6066927,6726361,6096647,6066930,6729923,6096651,6066928
11264,6801256,6200871,6172550,6799077,6200876,6172533,6801181,6200893,6172541,6801494,6200891,6172553,6801228,6200874,6172545
12288,6872232,6305066,6278065,6871407,6305051,6278068,6872525,6305048,6278068,6874143,6305054,6278075,6873367,6305067,6278063
13312,6944329,6409268,6383611,6943906,6409265,6383612,6943992,6409247,6383608,6945256,6409271,6383610,6944219,6409258,6383598
14336,7016732,6513443,6489127,7015843,6513460,6489135,7016039,6513462,6489154,7015375,6513462,6489131,7015737,6513454,6489128
15360,7086185,6617649,6594644,7086475,6617635,6594636,7087213,6617645,6594639,7087567,6617637,6594646,7087159,6617632,6594641
16384,7158551,6721836,6700169,7159190,6721843,6700163,7160659,6721848,6700160,7157998,6721840,6700164,7158284,6721837,6700164
17408,7229681,6826040,6805678,7230376,6826039,6805674,7233972,6826020,6805683,7231329,6826033,6805672,7231224,6826025,6805686
