dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,5077319,3717918,3654595,5076752,3717946,3654606,5076769,3717952,3654605,5078122,3717945,3654620,5074315,3717966,3654629
1024,5178332,3866962,3806021,5178202,3866952,3806042,5178900,3866955,3806027,5177769,3866969,3806014,5178516,3866959,3806015
2048,5282026,4015991,3957427,5281914,4015982,3957388,5283762,4015982,3957393,5280443,4015979,3957403,5280110,4015999,3957413
3072,5383953,4165039,4108738,5384387,4165023,4108737,5384674,4165049,4108753,5384366,4165044,4108764,5384362,4165041,4108763
4096,5488609,4314129,4260094,5487109,4314120,4260084,5488879,4314149,4260082,5487786,4314136,4260087,5487918,4314128,4260075
5120,5591442,4463217,4411365,5593114,4463202,4411394,5588911,4463195,4411367,5589601,4463190,4411369,5590504,4463210,4411350
6144,5694904,4612321,4562642,5693368,4612323,4562639,5693689,4612308,4562640,5692974,4612307,4562640,5695419,4612317,4562639
7168,5796503,4761441,4713815,5796755,4761419,4713811,5796025,4761428,4713811,5797472,4761424,4713812,5797855,4761438,4713811
8192,5900347,4910571,4865089,5901157,4910570,4865103,5897694,4910572,4865099,5900776,4910548,4865084,5898658,4910568,4865094
9216,6002333,5059693,5016349,6001445,5059693,5016348,6002401,5059687,5016315,6000427,5059715,5016338,6003918,5059693,5016342
10240,6106101,5208955,5167671,6104999,5208956,5167642,6105363,5208948,5167623,6106078,5208915,5167626,6104210,5208932,5167638
11264,6208904,5358170,5318916,6208941,5358182,5318922,6207304,5358186,5318905,6208801,5358172,5318918,6209183,5358176,5318881
12288,6311425,5507484,5470225,6311796,5507495,5470261,6312182,5507495,5470246,6312450,5507481,5470221,6312648,5507475,5470227
13312,6414082,5656886,5621612,6417061,5656858,5621607,6414837,5656873,5621617,6413413,5656865,5621596,6417330,5656850,5621591
14336,6518862,5806312,5773038,6517113,5806325,5773027,6516082,5806305,5773027,6516943,5806315,5773042,6517862,5806308,5773038
15360,6619541,5955841,5924506,6620193,5955821,5924500,6619693,5955812,5924509,6622435,5955818,5924486,6619900,5955822,5924490
16384,6724781,6105362,6075927,6723131,6105372,6075946,6724502,6105361,6075936,6724309,6105364,6075942,6723836,6105380,6075936
17408,6826489,6254891,6227404,6827806,6254870,6227386,6827037,6254879,6227399,6826581,6254882,6227372,6828375,6254872,6227390
18432,6929417,6404455,6378898,6930637,6404435,6378889,6929707,6404448,6378899,6930474,6404422,6378874,6930933,6404446,6378879
19456,7033095,6553953,6530359,7034221,6553968,6530370,7033449,6553970,6530369,7032055,6553973,6530361,7031771,6553969,6530357
20480,7137849,6703521,6681817,7136807,6703517,6681815,7137631,6703531,6681831,7135043,6703512,6681831,7138147,6703522,6681841
21504,7240371,6853115,6833319,7238495,6853112,6833321,7238759,6853106,6833319,7241219,6853119,6833308,7240978,6853125,6833312
22528,7342947,7002745,6984831,7343542,7002728,6984823,7343121,7002721,6984819,7343150,7002730,6984820,7342344,7002722,6984814
23552,7447659,7152293,7136278,7446775,7152271,7136268,7446465,7152294,7136254,7444237,7152273,7136255,7444845,7152278,7136265
24576,7550516,7301821,7287674,7549039,7301836,7287682,7550111,7301835,7287687,7549947,7301825,7287684,7548756,7301817,7287677
25600,7652310,7451364,7439109,7654849,7451367,7439100,7651209,7451377,7439090,7652491,7451372,7439103,7652543,7451380,7439117
26624,7755192,7600969,7590566,7756052,7600962,7590558,7755394,7600966,7590567,7754068,7600955,7590564,7753929,7600953,7590575
27648,7858201,7750533,7742035,7859662,7750534,7742016,7858434,7750567,7742036,7857537,7750543,7742021,7858462,7750535,7742026
28672,7960627,7900142,7893467,7960514,7900142,7893462,7963402,7900124,7893462,7964750,7900122,7893489,7960475,7900141,7893483
29696,8064185,8049671,8044894,8064152,8049677,8044897,8063249,8049675,8044886,8065229,8049672,8044892,8064658,8049662,8044885
30720,8166974,8199246,8196347,8168054,8199260,8196352,8168003,8199255,8196361,8167675,8199254,8196353,8168608,8199256,8196343
31744,8270149,8348819,8347794,8269810,8348814,8347783,8270823,8348831,8347790,8270530,8348822,8347794,8270316,8348817,8347759
32768,8374383,8498387,8499231,8373727,8498404,8499231,8373626,8498404,8499240,8374422,8498405,8499235,8374006,8498401,8499236
33792,8477528,8647960,8650677,8477843,8647956,8650687,8478034,8647966,8650673,8478798,8647974,8650650,8476228,8647948,8650663
