dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
6144,6389159,5680009,5644148,6390122,5679999,5644153,6389642,5680008,5644142,6385867,5680012,5644143,6387987,5680010,5644142,6388314,5680009,5644137,6389523,5680006,5644153,6388333,5680009,5644143,6388370,5680015,5644138,6388445,5680023,5644163
6400,6406641,5706073,5670545,6406155,5706069,5670544,6406998,5706064,5670532,6406541,5706050,5670542,6406551,5706066,5670553,6405780,5706054,5670552,6404932,5706053,5670541,6407171,5706052,5670548,6405197,5706062,5670546,6408347,5706055,5670539
6656,6423495,5732135,5696967,6422103,5732124,5696963,6424095,5732119,5696968,6425445,5732140,5696959,6423530,5732132,5696966,6422899,5732126,5696958,6422675,5732128,5696963,6425925,5732132,5696974,6423114,5732136,5696957,6425641,5732133,5696977
6912,6441640,5758179,5723365,6441992,5758181,5723369,6441739,5758188,5723376,6442230,5758190,5723359,6443615,5758188,5723369,6445221,5758184,5723363,6442128,5758177,5723350,6442087,5758177,5723359,6443464,5758182,5723366,6443886,5758192,5723379
7168,6459314,5784184,5749717,6461848,5784186,5749681,6462080,5784207,5749717,6459312,5784189,5749685,6461231,5784191,5749728,6459915,5784188,5749675,6461124,5784186,5749726,6458528,5784199,5749679,6461055,5784179,5749734,6458014,5784181,5749675
7424,6479319,5810224,5776067,6479370,5810224,5776060,6479014,5810229,5776079,6476958,5810237,5776067,6478727,5810237,5776072,6478691,5810222,5776068,6479797,5810230,5776078,6478776,5810246,5776072,6479820,5810236,5776070,6479359,5810234,5776073
7680,6497472,5836308,5802490,6496866,5836296,5802486,6496017,5836299,5802495,6497664,5836306,5802493,6497275,5836297,5802479,6496415,5836300,5802496,6496507,5836306,5802486,6496501,5836294,5802486,6495503,5836296,5802490,6497639,5836300,5802486
7936,6514077,5862346,5828874,6515423,5862338,5828884,6514392,5862346,5828891,6513871,5862346,5828872,6514582,5862354,5828874,6514012,5862346,5828889,6514769,5862353,5828903,6514992,5862343,5828874,6516917,5862346,5828885,6514869,5862351,5828891
8192,6531600,5888356,5855236,6533485,5888351,5855249,6530982,5888372,5855247,6532562,5888344,5855238,6533149,5888359,5855247,6532578,5888373,5855255,6534154,5888364,5855232,6533408,5888359,5855243,6532959,5888363,5855240,6532668,5888361,5855248
8448,6549943,5914407,5881655,6550376,5914408,5881655,6550484,5914407,5881642,6549655,5914410,5881638,6550685,5914416,5881633,6549713,5914417,5881641,6550194,5914414,5881649,6550580,5914418,5881653,6550934,5914413,5881652,6549380,5914420,5881649
8704,6566571,5940482,5908052,6568649,5940470,5908051,6568964,5940477,5908069,6568914,5940473,5908047,6569784,5940472,5908061,6567819,5940473,5908070,6570157,5940478,5908060,6570291,5940483,5908053,6568033,5940470,5908056,6568396,5940461,5908060
8960,6586736,5966527,5934454,6586439,5966523,5934451,6586071,5966527,5934460,6586590,5966533,5934446,6588003,5966527,5934462,6586648,5966523,5934462,6587483,5966516,5934453,6587787,5966524,5934462,6585861,5966511,5934468,6586829,5966531,5934465
9216,6602442,5992522,5960809,6605684,5992525,5960816,6604529,5992516,5960802,6605212,5992530,5960794,6604064,5992521,5960805,6605698,5992522,5960811,6604952,5992519,5960812,6606592,5992523,5960804,6605860,5992511,5960809,6603582,5992519,5960810
9472,6622864,6018564,5987211,6624930,6018571,5987215,6623546,6018574,5987213,6623047,6018561,5987213,6621074,6018576,5987216,6623221,6018563,5987201,6622404,6018568,5987216,6624693,6018574,5987206,6622229,6018574,5987211,6621826,6018582,5987203
9728,6640019,6044641,6013616,6642562,6044632,6013624,6639395,6044632,6013611,6640520,6044623,6013621,6639817,6044624,6013619,6639752,6044640,6013626,6639450,6044635,6013611,6641858,6044628,6013612,6640286,6044629,6013615,6641690,6044631,6013608
9984,6657985,6070679,6040010,6659003,6070682,6040015,6658953,6070673,6040009,6657840,6070671,6040002,6659950,6070680,6040005,6658948,6070672,6040005,6657868,6070675,6040015,6657337,6070679,6040000,6658976,6070683,6039997,6658201,6070678,6040010
10240,6675847,6096728,6066433,6677570,6096735,6066433,6678165,6096734,6066430,6675465,6096746,6066427,6676755,6096732,6066434,6676459,6096731,6066429,6677911,6096731,6066423,6677465,6096745,6066437,6676713,6096752,6066435,6677770,6096740,6066424
10496,6694024,6122764,6092786,6696229,6122749,6092809,6694278,6122756,6092797,6694845,6122761,6092810,6694089,6122749,6092803,6696011,6122751,6092798,6694380,6122750,6092800,6695569,6122746,6092792,6694933,6122746,6092796,6693612,6122751,6092794
10752,6712144,6148799,6119201,6711154,6148788,6119204,6712681,6148788,6119206,6712757,6148794,6119193,6712714,6148786,6119206,6713268,6148783,6119203,6712791,6148790,6119217,6711923,6148794,6119205,6713727,6148794,6119203,6713221,6148785,6119194
11008,6732875,6174852,6145624,6731705,6174857,6145626,6730742,6174869,6145620,6731263,6174860,6145627,6731163,6174867,6145626,6731233,6174864,6145627,6730988,6174860,6145615,6730004,6174860,6145626,6730900,6174856,6145630,6728747,6174873,6145628
11264,6749369,6200905,6172019,6750798,6200904,6172021,6749441,6200904,6172015,6748615,6200900,6172003,6748087,6200904,6172015,6748653,6200896,6172007,6748769,6200914,6172013,6749930,6200903,6172019,6748284,6200916,6172018,6749437,6200899,6172032
11520,6766345,6226916,6198381,6766484,6226923,6198369,6767247,6226907,6198369,6766257,6226917,6198374,6765485,6226916,6198378,6765128,6226923,6198379,6766533,6226921,6198369,6765925,6226924,6198368,6766451,6226921,6198368,6766852,6226915,6198375
11776,6784255,6252966,6224767,6784875,6252961,6224769,6785754,6252962,6224758,6786297,6252961,6224765,6783816,6252965,6224775,6784322,6252962,6224761,6784313,6252965,6224771,6785344,6252975,6224767,6784446,6252972,6224761,6784855,6252961,6224771
12032,6801093,6279058,6251209,6803322,6279052,6251199,6803401,6279051,6251212,6801757,6279064,6251204,6803469,6279059,6251197,6803375,6279052,6251200,6801876,6279052,6251200,6801418,6279051,6251209,6802534,6279062,6251204,6802868,6279053,6251191
12288,6821208,6305096,6277595,6820550,6305096,6277596,6820321,6305092,6277603,6822680,6305083,6277608,6821785,6305112,6277590,6821626,6305095,6277597,6819300,6305103,6277577,6819731,6305095,6277578,6820713,6305098,6277590,6819724,6305091,6277583
12544,6839550,6331108,6303933,6838463,6331099,6303932,6839067,6331109,6303929,6838524,6331117,6303939,6838235,6331113,6303940,6836949,6331104,6303938,6838872,6331091,6303930,6838389,6331102,6303938,6838973,6331102,6303937,6838276,6331110,6303938
12800,6857373,6357150,6330329,6856671,6357157,6330326,6858670,6357160,6330338,6856861,6357159,6330347,6856874,6357162,6330344,6856052,6357153,6330333,6856709,6357167,6330341,6855614,6357159,6330343,6856400,6357163,6330345,6855826,6357160,6330347
13056,6874717,6383210,6356738,6874539,6383212,6356745,6875517,6383227,6356741,6873153,6383216,6356744,6874329,6383219,6356739,6875046,6383220,6356741,6876784,6383221,6356742,6874145,6383216,6356745,6875461,6383234,6356745,6873718,6383209,6356750
13312,6891749,6409273,6383145,6892199,6409270,6383134,6891899,6409272,6383126,6893744,6409279,6383128,6892370,6409271,6383133,6893082,6409270,6383139,6891933,6409262,6383130,6894274,6409268,6383132,6891374,6409276,6383130,6892608,6409283,6383124
13568,6912400,6435269,6409474,6910825,6435274,6409481,6910537,6435278,6409472,6911527,6435272,6409488,6910831,6435271,6409486,6910167,6435283,6409481,6910289,6435279,6409486,6910175,6435271,6409473,6912266,6435258,6409482,6911336,6435262,6409487
13824,6928421,6461313,6435871,6927884,6461304,6435865,6927281,6461321,6435863,6928174,6461316,6435870,6928750,6461302,6435870,6929546,6461313,6435866,6928925,6461315,6435861,6927806,6461316,6435871,6928982,6461321,6435866,6928449,6461320,6435863
14080,6948339,6487392,6462275,6947496,6487386,6462270,6945940,6487389,6462278,6945056,6487391,6462284,6948089,6487392,6462281,6947097,6487381,6462276,6946499,6487388,6462283,6949029,6487383,6462290,6945799,6487385,6462286,6944049,6487385,6462285
14336,6964736,6513430,6488670,6964873,6513435,6488672,6963244,6513436,6488675,6964973,6513452,6488668,6964288,6513438,6488675,6966010,6513439,6488672,6965915,6513442,6488661,6963580,6513448,6488679,6966860,6513439,6488682,6966974,6513434,6488684
14592,6981917,6539445,6515019,6982720,6539445,6515026,6982222,6539429,6515017,6982392,6539436,6515012,6982629,6539444,6515021,6983181,6539428,6515013,6982373,6539434,6515026,6983784,6539436,6515019,6984256,6539449,6515018,6983654,6539437,6515013
14848,7000110,6565493,6541401,7000450,6565487,6541410,7002611,6565482,6541410,7001153,6565480,6541406,6999681,6565477,6541406,6999928,6565487,6541403,7001152,6565483,6541407,7001907,6565484,6541408,7000190,6565487,6541401,7000754,6565476,6541409
15104,7019191,6591551,6567807,7020102,6591526,6567801,7018820,6591550,6567800,7018768,6591542,6567796,7020126,6591549,6567807,7016665,6591544,6567807,7019722,6591534,6567813,7019744,6591543,6567813,7017213,6591539,6567800,7020808,6591540,6567805
15360,7038594,6617590,6594200,7038998,6617612,6594209,7037393,6617610,6594208,7035619,6617608,6594198,7036938,6617621,6594204,7037759,6617608,6594216,7036752,6617614,6594200,7038237,6617619,6594207,7036594,6617611,6594209,7036781,6617607,6594205
15616,7054595,6643645,6620586,7052480,6643644,6620587,7053621,6643639,6620585,7054061,6643646,6620595,7055646,6643634,6620591,7053963,6643650,6620589,7055021,6643642,6620605,7056652,6643650,6620591,7055150,6643649,6620597,7054642,6643654,6620602
15872,7072332,6669660,6646942,7071203,6669657,6646936,7072471,6669673,6646946,7073118,6669663,6646950,7073450,6669654,6646941,7073964,6669671,6646945,7072761,6669664,6646957,7071096,6669651,6646953,7070682,6669654,6646943,7073825,6669654,6646944
16128,7090602,6695706,6673322,7091310,6695714,6673320,7088823,6695704,6673324,7090511,6695712,6673328,7092158,6695707,6673331,7090752,6695707,6673322,7091676,6695690,6673332,7092244,6695706,6673314,7090154,6695702,6673318,7091436,6695697,6673337
16384,7108865,6721770,6699738,7108121,6721763,6699728,7109753,6721769,6699721,7108575,6721768,6699728,7108920,6721757,6699730,7109453,6721760,6699718,7110202,6721765,6699729,7109518,6721767,6699738,7109903,6721768,6699730,7109322,6721761,6699728
16640,7127414,6747811,6726116,7125271,6747802,6726125,7126422,6747801,6726116,7127723,6747803,6726119,7127149,6747806,6726113,7126904,6747823,6726121,7127319,6747802,6726128,7128169,6747814,6726104,7127640,6747817,6726114,7127576,6747816,6726119
16896,7146201,6773827,6752456,7143791,6773813,6752465,7145357,6773817,6752472,7145267,6773812,6752464,7144794,6773813,6752458,7144328,6773807,6752467,7145472,6773818,6752450,7145429,6773805,6752454,7144462,6773821,6752460,7145096,6773808,6752452
17152,7163974,6799856,6778835,7162245,6799854,6778835,7161871,6799856,6778832,7164454,6799861,6778845,7164383,6799862,6778842,7163507,6799865,6778830,7163272,6799856,6778838,7160795,6799858,6778846,7162107,6799859,6778843,7165119,6799864,6778835
17408,7183375,6825920,6805240,7180287,6825919,6805237,7178867,6825915,6805237,7182298,6825924,6805244,7181400,6825916,6805236,7179091,6825926,6805231,7181375,6825918,6805229,7179288,6825917,6805251,7180329,6825914,6805245,7179152,6825914,6805239
17664,7200483,6851953,6831627,7199067,6851961,6831622,7198442,6851966,6831628,7200279,6851966,6831622,7200042,6851963,6831621,7199674,6851968,6831612,7197720,6851955,6831620,7197673,6851960,6831630,7200698,6851964,6831618,7198795,6851966,6831612
17920,7216608,6877960,6857953,7219106,6877968,6857963,7218608,6877969,6857962,7214571,6877969,6857962,7218508,6877971,6857961,7215496,6877969,6857958,7216864,6877963,6857973,7217038,6877979,6857971,7216332,6877967,6857961,7217685,6877967,6857967
18176,7234854,6904023,6884347,7235969,6904022,6884344,7236774,6904016,6884353,7234889,6904017,6884354,7236165,6904014,6884349,7234035,6904020,6884353,7235065,6904020,6884348,7235258,6904014,6884352,7233752,6904022,6884356,7233810,6904023,6884356
18432,7253429,6930069,6910753,7251275,6930082,6910756,7254501,6930083,6910746,7254106,6930068,6910754,7253913,6930072,6910751,7253063,6930088,6910756,7253109,6930082,6910755,7252422,6930085,6910748,7251512,6930085,6910747,7252382,6930079,6910756
18688,7270899,6956129,6937130,7272233,6956126,6937144,7270896,6956125,6937146,7272718,6956130,6937136,7270282,6956132,6937131,7271707,6956114,6937138,7269935,6956124,6937131,7269225,6956117,6937136,7270510,6956128,6937129,7272445,6956130,6937146
18944,7288537,6982131,6963495,7287169,6982126,6963471,7288652,6982128,6963484,7289418,6982131,6963475,7287884,6982125,6963479,7288992,6982125,6963473,7289719,6982125,6963486,7288713,6982133,6963482,7287543,6982134,6963482,7288617,6982130,6963476
19200,7307452,7008180,6989861,7306178,7008182,6989851,7306438,7008186,6989851,7308061,7008177,6989862,7306884,7008182,6989854,7305657,7008168,6989861,7306377,7008175,6989862,7306713,7008179,6989864,7307660,7008173,6989862,7306981,7008180,6989857
19456,7325547,7034244,7016262,7324204,7034233,7016248,7325295,7034221,7016264,7324232,7034241,7016272,7325676,7034241,7016258,7324854,7034242,7016271,7322715,7034238,7016261,7324120,7034234,7016273,7324960,7034240,7016275,7324599,7034244,7016266
19712,7343561,7060290,7042644,7341913,7060296,7042641,7343726,7060288,7042649,7343655,7060274,7042639,7343528,7060293,7042644,7342431,7060279,7042654,7344713,7060297,7042651,7344190,7060284,7042639,7342131,7060286,7042651,7343310,7060293,7042638
19968,7359247,7086290,7068989,7361365,7086292,7068978,7361788,7086291,7068979,7360001,7086276,7068984,7358266,7086290,7068980,7360685,7086283,7068996,7360808,7086287,7068983,7359433,7086286,7068987,7361594,7086283,7068977,7359582,7086287,7068985
20224,7378133,7112332,7095375,7378416,7112330,7095368,7381337,7112342,7095369,7380230,7112335,7095363,7378210,7112346,7095362,7379040,7112336,7095366,7379848,7112340,7095368,7378893,7112320,7095358,7377651,7112332,7095373,7377122,7112342,7095365
20480,7397625,7138387,7121749,7396311,7138386,7121758,7396858,7138385,7121752,7398090,7138389,7121752,7396224,7138398,7121761,7398318,7138393,7121764,7397221,7138388,7121759,7394287,7138384,7121760,7396327,7138386,7121754,7398439,7138379,7121751
20736,7414639,7164468,7148175,7415452,7164483,7148167,7414645,7164470,7148178,7414261,7164467,7148180,7415337,7164473,7148180,7415556,7164475,7148177,7414097,7164467,7148174,7415504,7164461,7148171,7416191,7164472,7148166,7413888,7164462,7148151
20992,7433034,7190504,7174535,7431412,7190509,7174544,7431484,7190513,7174549,7432985,7190503,7174545,7432194,7190503,7174551,7434203,7190510,7174554,7433356,7190506,7174549,7432792,7190500,7174551,7433033,7190513,7174557,7433632,7190505,7174542
21248,7451757,7216509,7200893,7450674,7216520,7200887,7450695,7216519,7200899,7450887,7216520,7200897,7450223,7216504,7200892,7451275,7216530,7200906,7452504,7216528,7200901,7449742,7216530,7200909,7450614,7216531,7200899,7451000,7216515,7200903
21504,7468894,7242567,7227278,7470539,7242560,7227285,7470669,7242576,7227268,7469384,7242573,7227278,7467585,7242564,7227264,7468406,7242565,7227282,7467946,7242562,7227280,7469260,7242566,7227271,7468701,7242578,7227283,7468233,7242562,7227284
21760,7486850,7268628,7253671,7487454,7268630,7253666,7486434,7268617,7253658,7487825,7268623,7253671,7487292,7268625,7253665,7487884,7268614,7253666,7488068,7268613,7253668,7487147,7268614,7253666,7485255,7268615,7253665,7486040,7268628,7253670
22016,7504253,7294673,7280044,7505267,7294670,7280044,7504302,7294667,7280051,7505666,7294666,7280050,7503601,7294666,7280044,7503749,7294670,7280044,7504247,7294657,7280057,7507087,7294665,7280059,7505559,7294666,7280044,7505653,7294664,7280051
22272,7523666,7320670,7306392,7525617,7320669,7306382,7522849,7320661,7306393,7522714,7320668,7306382,7524145,7320661,7306390,7521628,7320673,7306388,7523434,7320672,7306383,7522620,7320663,7306388,7523568,7320681,7306397,7522126,7320667,7306390
22528,7542156,7346718,7332758,7542213,7346720,7332769,7541414,7346724,7332768,7542135,7346719,7332770,7541555,7346733,7332789,7540536,7346718,7332772,7540840,7346713,7332777,7541709,7346724,7332772,7539820,7346726,7332782,7540610,7346725,7332781
22784,7557897,7372779,7359174,7559461,7372783,7359182,7559624,7372784,7359168,7560526,7372791,7359174,7558875,7372794,7359176,7560440,7372816,7359181,7558907,7372806,7359193,7558906,7372787,7359179,7558917,7372793,7359179,7559088,7372785,7359179
23040,7575430,7398841,7385569,7575602,7398828,7385553,7577116,7398835,7385567,7577961,7398848,7385562,7577960,7398835,7385577,7577939,7398845,7385560,7577079,7398835,7385557,7576126,7398851,7385550,7578143,7398835,7385559,7576571,7398840,7385548
23296,7594128,7424848,7411902,7594887,7424858,7411908,7595726,7424840,7411896,7592868,7424845,7411897,7595595,7424847,7411906,7594751,7424845,7411889,7596052,7424846,7411886,7594942,7424849,7411891,7594471,7424852,7411904,7595078,7424851,7411902
23552,7611255,7450888,7438280,7612303,7450897,7438277,7613549,7450891,7438278,7611941,7450882,7438279,7612486,7450899,7438288,7613507,7450886,7438278,7612116,7450894,7438277,7613309,7450895,7438267,7612727,7450894,7438290,7613030,7450888,7438287
23808,7631702,7476970,7464684,7631419,7476958,7464681,7631263,7476970,7464693,7632623,7476971,7464683,7631245,7476965,7464690,7629404,7476962,7464677,7629944,7476954,7464688,7632139,7476962,7464668,7631852,7476971,7464678,7632069,7476954,7464687
24064,7648163,7502995,7491061,7649243,7502999,7491061,7649585,7503003,7491056,7648630,7503005,7491055,7648193,7503003,7491073,7649694,7503005,7491059,7648569,7503015,7491073,7649777,7502996,7491068,7650202,7503008,7491069,7650143,7503002,7491069
24320,7666223,7529006,7517404,7667048,7529012,7517412,7667562,7529013,7517401,7666657,7529010,7517409,7668692,7529017,7517419,7668751,7529020,7517409,7667142,7529004,7517415,7666311,7529018,7517397,7668042,7529011,7517410,7668347,7529006,7517414
24576,7683990,7555054,7543788,7684857,7555060,7543790,7684611,7555059,7543776,7683679,7555056,7543785,7685474,7555067,7543787,7684192,7555055,7543793,7683945,7555063,7543790,7685402,7555074,7543789,7683443,7555069,7543786,7685074,7555058,7543789
24832,7703540,7581144,7570189,7703142,7581131,7570189,7703239,7581141,7570193,7704543,7581129,7570200,7703386,7581136,7570196,7706101,7581145,7570191,7701834,7581131,7570186,7703082,7581142,7570203,7703727,7581133,7570195,7703124,7581123,7570202
25088,7720799,7607166,7596573,7722924,7607184,7596571,7721480,7607175,7596563,7720874,7607171,7596578,7721287,7607183,7596575,7722208,7607171,7596574,7721927,7607178,7596571,7720815,7607178,7596576,7722715,7607180,7596570,7721294,7607180,7596565
25344,7739337,7633174,7622876,7738488,7633172,7622885,7738440,7633188,7622891,7736488,7633184,7622887,7738424,7633180,7622888,7738711,7633174,7622891,7741516,7633174,7622885,7739668,7633177,7622898,7739919,7633181,7622896,7737557,7633164,7622892
25600,7757147,7659242,7649282,7755425,7659235,7649275,7756621,7659233,7649294,7756757,7659232,7649277,7757058,7659233,7649267,7756781,7659245,7649277,7755491,7659231,7649277,7758037,7659240,7649270,7756703,7659236,7649273,7755117,7659239,7649282
25856,7774711,7685276,7675640,7775121,7685274,7675645,7776132,7685276,7675654,7775780,7685270,7675640,7774296,7685271,7675651,7775901,7685270,7675645,7775527,7685283,7675649,7775955,7685280,7675653,7773816,7685268,7675647,7776338,7685266,7675644
26112,7791406,7711314,7702036,7791641,7711311,7702025,7794164,7711310,7702029,7793079,7711317,7702029,7791071,7711317,7702029,7793776,7711319,7702037,7792496,7711319,7702033,7793281,7711322,7702041,7793642,7711319,7702040,7793772,7711332,7702034
26368,7810221,7737361,7728408,7812405,7737367,7728413,7811198,7737358,7728409,7810639,7737360,7728404,7810217,7737361,7728414,7811872,7737360,7728401,7809116,7737367,7728416,7809515,7737364,7728398,7809708,7737359,7728408,7811836,7737362,7728405
26624,7828047,7763358,7754739,7827921,7763367,7754751,7828755,7763365,7754748,7830402,7763372,7754737,7828244,7763373,7754755,7829569,7763376,7754739,7829026,7763367,7754756,7830644,7763368,7754751,7828293,7763374,7754743,7830603,7763379,7754748
26880,7846250,7789415,7781139,7846657,7789410,7781137,7846885,7789412,7781134,7847636,7789413,7781130,7845635,7789410,7781127,7847105,7789415,7781129,7846990,7789412,7781121,7846859,7789414,7781114,7847820,7789417,7781131,7847907,7789417,7781125
27136,7864592,7815470,7807537,7865201,7815475,7807516,7865468,7815463,7807532,7865619,7815479,7807542,7863741,7815468,7807524,7863926,7815469,7807521,7863825,7815474,7807523,7864153,7815488,7807518,7863693,7815478,7807526,7867486,7815474,7807525
27392,7883805,7841529,7833898,7884594,7841515,7833891,7882311,7841523,7833914,7883334,7841518,7833904,7882406,7841517,7833902,7882827,7841520,7833902,7883469,7841523,7833911,7882268,7841512,7833895,7881988,7841508,7833898,7883722,7841526,7833901
27648,7901151,7867523,7860245,7901246,7867519,7860223,7900385,7867519,7860241,7901819,7867521,7860249,7899682,7867509,7860232,7900316,7867515,7860240,7901224,7867523,7860233,7900495,7867520,7860229,7900969,7867525,7860241,7901028,7867525,7860244
27904,7917774,7893571,7886626,7920202,7893570,7886617,7918345,7893563,7886616,7918045,7893560,7886616,7920383,7893578,7886602,7918254,7893561,7886616,7918041,7893570,7886608,7917930,7893562,7886623,7919197,7893556,7886625,7919712,7893559,7886621
28160,7938656,7919624,7913008,7938781,7919633,7913015,7937585,7919623,7913014,7938167,7919632,7913014,7936901,7919623,7913025,7938294,7919612,7913021,7936158,7919620,7913016,7937195,7919634,7913015,7938232,7919617,7913012,7936271,7919623,7913012
