dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,5068713,3716896,3652385,5066772,3716896,3652368,5067514,3716864,3652367,5067473,3716870,3652364,5066957,3716868,3652355
1024,5169573,3865911,3803828,5167482,3865892,3803825,5170065,3865899,3803857,5171354,3865906,3803830,5169987,3865923,3803827
2048,5273452,4014937,3955267,5273029,4014948,3955267,5272432,4014952,3955252,5273000,4014949,3955268,5273141,4014973,3955261
3072,5376240,4164005,4106636,5375658,4164010,4106650,5375885,4164020,4106640,5375963,4164014,4106657,5375601,4163997,4106643
4096,5477817,4313115,4258037,5478499,4313133,4258016,5479413,4313066,4258026,5478951,4313097,4258019,5477979,4313097,4258013
5120,5581093,4462244,4409318,5579649,4462229,4409299,5581324,4462257,4409314,5580872,4462230,4409329,5581157,4462227,4409306
6144,5684783,4611343,4560627,5684769,4611325,4560629,5684392,4611351,4560636,5683013,4611322,4560605,5684878,4611332,4560605
7168,5787460,4760441,4711998,5785864,4760449,4711983,5786519,4760446,4711998,5786893,4760485,4711989,5786835,4760480,4712018
8192,5890202,4909712,4863397,5888349,4909729,4863414,5891219,4909734,4863396,5889889,4909728,4863405,5888072,4909717,4863401
9216,5990962,5058913,5014693,5991773,5058893,5014676,5992593,5058900,5014673,5992446,5058906,5014670,5992888,5058914,5014664
10240,6096260,5208168,5166033,6094976,5208144,5166029,6095443,5208175,5166020,6094201,5208140,5166022,6094399,5208147,5166023
11264,6196482,5357449,5317363,6198654,5357436,5317369,6198210,5357463,5317358,6197108,5357445,5317381,6196934,5357442,5317374
12288,6300579,5506813,5468757,6300273,5506800,5468755,6298733,5506815,5468770,6301267,5506799,5468767,6301583,5506803,5468778
13312,6404019,5656227,5620220,6404804,5656241,5620234,6404590,5656234,5620211,6403920,5656219,5620214,6404524,5656226,5620230
14336,6504308,5805748,5771693,6507013,5805748,5771724,6506264,5805737,5771714,6505990,5805746,5771706,6506180,5805750,5771717
15360,6608662,5955287,5923241,6609684,5955298,5923237,6608954,5955299,5923234,6606981,5955292,5923225,6607395,5955294,5923250
16384,6711468,6104820,6074780,6712523,6104825,6074750,6712710,6104815,6074771,6712614,6104816,6074777,6711440,6104838,6074782
17408,6816450,6254372,6226317,6815199,6254395,6226292,6815798,6254383,6226286,6816252,6254372,6226300,6813397,6254365,6226295
