dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,6002294,5054288,5010682,6003599,5054269,5010678,6002292,5054255,5010671,6002995,5054259,5010675,6001963,5054254,5010661
1024,6074414,5158435,5116281,6075037,5158437,5116285,6073866,5158426,5116275,6075859,5158434,5116271,6074728,5158420,5116269
2048,6145851,5262625,5221908,6145492,5262621,5221893,6147361,5262622,5221887,6144578,5262632,5221904,6145444,5262619,5221902
3072,6215195,5366809,5327513,6218122,5366821,5327497,6218286,5366805,5327501,6215948,5366811,5327512,6217943,5366810,5327493
4096,6290435,5471007,5433111,6288614,5470995,5433115,6290189,5471018,5433113,6290152,5471009,5433103,6288906,5471017,5433108
5120,6361066,5575220,5538658,6363105,5575213,5538647,6362016,5575217,5538663,6360509,5575213,5538648,6361513,5575210,5538656
6144,6433484,5679389,5644236,6434088,5679393,5644234,6432977,5679399,5644226,6433262,5679399,5644224,6433807,5679391,5644217
7168,6504561,5783575,5749815,6505251,5783578,5749814,6505322,5783588,5749807,6505068,5783581,5749803,6506152,5783591,5749804
8192,6578116,5887784,5855432,6578643,5887765,5855428,6577998,5887780,5855429,6576604,5887786,5855428,6578186,5887780,5855427
9216,6649082,5991945,5960960,6649660,5991940,5960954,6648797,5991940,5960956,6649066,5991951,5960956,6649666,5991949,5960981
10240,6722183,6096177,6066565,6721761,6096187,6066557,6719352,6096179,6066564,6721740,6096173,6066560,6721036,6096185,6066564
11264,6792906,6200346,6172095,6795114,6200358,6172095,6792338,6200367,6172082,6792482,6200368,6172092,6793084,6200357,6172093
12288,6864131,6304559,6277648,6864173,6304557,6277653,6863116,6304571,6277646,6866070,6304570,6277649,6864469,6304564,6277642
13312,6936480,6408757,6383197,6935419,6408756,6383200,6937139,6408764,6383188,6936484,6408765,6383189,6936150,6408764,6383189
14336,7008341,6512943,6488709,7006758,6512945,6488716,7007661,6512942,6488711,7008965,6512950,6488716,7007466,6512941,6488723
15360,7079910,6617160,6594254,7079095,6617150,6594258,7079317,6617143,6594244,7078903,6617144,6594250,7082448,6617150,6594246
16384,7152448,6721311,6699760,7151405,6721311,6699746,7151979,6721318,6699759,7151681,6721310,6699744,7151249,6721305,6699753
17408,7223268,6825483,6805248,7223629,6825498,6805249,7223971,6825478,6805246,7224110,6825482,6805252,7222691,6825480,6805243
18432,7295645,6929669,6910747,7296459,6929665,6910761,7293838,6929685,6910767,7293488,6929675,6910753,7294356,6929670,6910748
19456,7367409,7033856,7016264,7366871,7033862,7016255,7367489,7033866,7016272,7368432,7033856,7016266,7367575,7033873,7016270
20480,7439550,7138031,7121762,7440044,7138030,7121750,7438777,7138037,7121750,7439247,7138031,7121760,7438000,7138031,7121752
21504,7510822,7242214,7227263,7510389,7242226,7227249,7509669,7242212,7227247,7509456,7242206,7227256,7511050,7242208,7227254
22528,7582705,7346409,7332728,7582850,7346405,7332734,7583316,7346409,7332734,7581773,7346403,7332738,7583796,7346412,7332728
23552,7655801,7450578,7438225,7654314,7450583,7438226,7654666,7450591,7438231,7653310,7450584,7438229,7654343,7450582,7438218
24576,7726959,7554772,7543727,7726729,7554761,7543728,7727783,7554768,7543733,7725688,7554775,7543721,7725860,7554776,7543721
25600,7796023,7658971,7649250,7797602,7658978,7649253,7797739,7658972,7649243,7798365,7658970,7649247,7798425,7658974,7649245
26624,7868799,7763144,7754739,7871181,7763149,7754740,7868956,7763149,7754750,7867729,7763152,7754744,7867674,7763151,7754743
27648,7941009,7867334,7860236,7942632,7867349,7860242,7940888,7867335,7860250,7941983,7867340,7860241,7941482,7867342,7860243
28672,8012584,7971491,7965710,8013749,7971499,7965707,8012634,7971507,7965713,8012165,7971495,7965716,8014037,7971506,7965710
29696,8084402,8075684,8071220,8085987,8075691,8071203,8084741,8075701,8071210,8086468,8075696,8071219,8085262,8075695,8071201
30720,8157318,8179890,8176724,8157586,8179894,8176723,8157410,8179909,8176724,8155913,8179897,8176720,8158114,8179893,8176728
31744,8229430,8284082,8282231,8229443,8284098,8282227,8228073,8284098,8282232,8229047,8284104,8282227,8228039,8284089,8282225
32768,8301017,8388266,8387706,8301249,8388258,8387697,8301269,8388249,8387708,8300639,8388268,8387708,8302894,8388262,8387710
33792,8374999,8492446,8493202,8372437,8492462,8493205,8372751,8492461,8493219,8370597,8492443,8493201,8373510,8492445,8493210
34816,8444139,8596615,8598696,8443331,8596617,8598698,8444541,8596630,8598704,8445569,8596623,8598712,8443072,8596637,8598695
35840,8516525,8700773,8704164,8515425,8700774,8704154,8515631,8700785,8704165,8516675,8700772,8704162,8516668,8700780,8704156
36864,8587360,8804975,8809684,8589409,8804992,8809676,8588519,8804981,8809685,8586603,8804980,8809685,8587873,8804983,8809683
37888,8658570,8909141,8915144,8659356,8909137,8915127,8659717,8909145,8915152,8657779,8909133,8915150,8659855,8909121,8915147
38912,8728758,9013317,9020662,8730984,9013313,9020665,8731171,9013325,9020668,8730917,9013326,9020663,8732274,9013325,9020666
39936,8803321,9117504,9126158,8802983,9117508,9126175,8804123,9117509,9126165,8802470,9117498,9126161,8801990,9117506,9126168
40960,8875311,9221665,9231644,8874505,9221666,9231658,8875026,9221660,9231662,8874106,9221676,9231665,8873261,9221672,9231651
41984,8946158,9325831,9337148,8946067,9325834,9337156,8947102,9325829,9337146,8945462,9325836,9337140,8946791,9325830,9337156
43008,9018557,9429989,9442658,9018278,9429995,9442660,9018070,9429999,9442663,9018063,9430003,9442649,9019903,9430005,9442661
44032,9089069,9534204,9548192,9089415,9534203,9548197,9089497,9534209,9548206,9090044,9534207,9548198,9088432,9534199,9548209
45056,9162885,9638383,9653734,9162327,9638372,9653739,9162004,9638389,9653738,9161645,9638380,9653751,9162728,9638395,9653740
46080,9234637,9742569,9759289,9232537,9742565,9759277,9232600,9742560,9759280,9233050,9742568,9759277,9233964,9742576,9759290
47104,9305961,9846759,9864840,9306301,9846770,9864839,9305116,9846755,9864823,9304170,9846739,9864829,9304169,9846761,9864834
48128,9378339,9950949,9970383,9377201,9950948,9970378,9377060,9950947,9970368,9377032,9950954,9970383,9377146,9950948,9970376
49152,9448583,10055141,10075924,9448779,10055132,10075926,9449578,10055139,10075922,9448831,10055140,10075919,9450210,10055139,10075919
50176,9520883,10159287,10181413,9520974,10159279,10181410,9520632,10159285,10181418,9521454,10159282,10181423,9521163,10159297,10181416
51200,9592588,10263469,10286974,9593422,10263471,10286961,9592755,10263464,10286972,9591652,10263456,10286961,9592928,10263455,10286963
52224,9664141,10367658,10392567,9665518,10367663,10392556,9664477,10367657,10392551,9665774,10367663,10392550,9663713,10367663,10392547
53248,9737914,10471841,10498131,9737687,10471845,10498123,9738958,10471849,10498132,9736493,10471842,10498127,9736575,10471839,10498124
54272,9808201,10576014,10603689,9809276,10576003,10603682,9807953,10576012,10603688,9810104,10576007,10603691,9809430,10576012,10603702
55296,9879561,10680196,10709305,9880653,10680211,10709314,9880015,10680205,10709295,9881390,10680204,10709294,9880540,10680207,10709300
56320,9950627,10784383,10814909,9951502,10784399,10814902,9953170,10784402,10814892,9950888,10784389,10814903,9952039,10784401,10814901
57344,10023027,10888590,10920518,10023305,10888598,10920524,10022364,10888597,10920527,10022320,10888586,10920534,10024064,10888585,10920523
58368,10095181,10992801,11026168,10094264,10992802,11026188,10095279,10992802,11026194,10096524,10992792,11026181,10096232,10992805,11026191
59392,10167977,11096994,11131829,10167812,11097004,11131826,10168691,11097006,11131839,10165962,11096994,11131837,10168709,11097018,11131828
60416,10239149,11201167,11237464,10239175,11201170,11237458,10237976,11201178,11237480,10239640,11201174,11237469,10237999,11201172,11237450
61440,10311526,11305386,11343139,10312357,11305387,11343146,10312706,11305387,11343145,10311684,11305400,11343147,10311710,11305391,11343141
62464,10381846,11409551,11448822,10383299,11409565,11448801,10382570,11409555,11448821,10383209,11409571,11448816,10383295,11409556,11448818
63488,10455887,11513722,11554489,10457331,11513729,11554488,10455040,11513731,11554482,10454381,11513728,11554489,10454113,11513734,11554495
64512,10526469,11617929,11660198,10526479,11617921,11660199,10526865,11617918,11660210,10525742,11617921,11660200,10528322,11617924,11660219
