dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,5990582,5054585,5010374,5988797,5054552,5010345,5989907,5054543,5010360,5988440,5054545,5010344,5989207,5054541,5010351
1024,6060058,5158740,5115952,6061206,5158726,5115933,6061897,5158734,5115931,6060463,5158732,5115928,6061543,5158737,5115935
2048,6133156,5262910,5221563,6132365,5262910,5221574,6131713,5262909,5221580,6132526,5262919,5221565,6133783,5262910,5221556
3072,6204993,5367119,5327234,6204209,5367115,5327217,6204794,5367125,5327223,6205922,5367114,5327225,6204987,5367113,5327208
4096,6275330,5471317,5432902,6276119,5471321,5432891,6276799,5471316,5432875,6275737,5471313,5432885,6277027,5471306,5432880
5120,6348867,5575515,5538506,6347908,5575526,5538509,6348629,5575519,5538508,6348845,5575522,5538493,6348359,5575518,5538518
6144,6420093,5679746,5644133,6421391,5679740,5644134,6419913,5679730,5644138,6420384,5679746,5644146,6418049,5679736,5644133
7168,6492549,5783924,5749712,6491262,5783915,5749712,6491606,5783916,5749711,6493120,5783924,5749711,6493463,5783927,5749711
8192,6563631,5888112,5855303,6562396,5888122,5855304,6564539,5888115,5855307,6563189,5888132,5855311,6563912,5888117,5855307
9216,6635181,5992283,5960841,6634876,5992279,5960850,6633961,5992285,5960835,6633798,5992298,5960851,6634753,5992282,5960845
10240,6707486,6096463,6066396,6706941,6096472,6066403,6704724,6096457,6066391,6706709,6096462,6066411,6706706,6096463,6066401
11264,6778052,6200696,6171994,6779090,6200689,6172006,6778346,6200688,6172003,6778807,6200697,6171986,6776735,6200689,6171992
12288,6850411,6304888,6277562,6849855,6304891,6277558,6850464,6304896,6277565,6849237,6304885,6277555,6849590,6304895,6277548
13312,6921566,6409070,6383095,6922503,6409074,6383105,6920970,6409063,6383087,6921485,6409068,6383085,6921237,6409069,6383087
14336,6994669,6513253,6488645,6992898,6513255,6488627,6994744,6513256,6488637,6991931,6513261,6488643,6993509,6513271,6488632
15360,7063452,6617415,6594150,7064721,6617417,6594156,7064322,6617420,6594146,7064551,6617425,6594142,7064798,6617414,6594141
16384,7137841,6721619,6699690,7136877,6721609,6699674,7137632,6721617,6699687,7137504,6721609,6699683,7135147,6721605,6699690
17408,7208513,6825794,6805206,7206356,6825805,6805186,7208463,6825783,6805196,7210041,6825789,6805193,7210048,6825789,6805208
18432,7280781,6929978,6910692,7279844,6929974,6910694,7281170,6929960,6910702,7280291,6929971,6910698,7282573,6929977,6910693
19456,7352868,7034150,7016190,7351367,7034142,7016178,7350982,7034147,7016188,7351573,7034149,7016193,7350101,7034152,7016198
20480,7423825,7138330,7121713,7422096,7138325,7121717,7422129,7138334,7121709,7422289,7138327,7121725,7422375,7138333,7121703
21504,7493688,7242501,7227229,7494825,7242514,7227230,7495933,7242502,7227235,7495944,7242506,7227232,7496658,7242510,7227230
22528,7567042,7346676,7332746,7565808,7346681,7332749,7566685,7346677,7332741,7566342,7346679,7332748,7566129,7346669,7332748
23552,7638898,7450838,7438242,7636852,7450842,7438239,7640362,7450840,7438235,7636634,7450841,7438217,7637945,7450851,7438239
24576,7711250,7555013,7543723,7710386,7555003,7543732,7709076,7555015,7543725,7708991,7555010,7543724,7709143,7555009,7543728
25600,7781078,7659180,7649241,7780688,7659190,7649240,7780405,7659181,7649239,7781668,7659186,7649234,7780701,7659196,7649231
26624,7853920,7763371,7754729,7852533,7763370,7754748,7854183,7763375,7754756,7852269,7763369,7754746,7852167,7763362,7754739
27648,7924617,7867532,7860225,7924261,7867530,7860227,7924868,7867529,7860220,7924530,7867523,7860225,7924944,7867537,7860218
28672,7996989,7971676,7965699,7995648,7971671,7965697,7996828,7971681,7965691,7996644,7971682,7965691,7996180,7971688,7965690
29696,8067961,8075849,8071193,8068072,8075866,8071193,8068267,8075863,8071192,8068965,8075857,8071189,8069065,8075853,8071191
30720,8138742,8180011,8176666,8139897,8180011,8176676,8140496,8180017,8176660,8139692,8180017,8176669,8140821,8180011,8176675
31744,8210165,8284227,8282210,8209941,8284220,8282211,8212103,8284235,8282200,8211530,8284227,8282206,8210015,8284225,8282192
32768,8282851,8388377,8387686,8282899,8388366,8387677,8282006,8388377,8387680,8283019,8388371,8387684,8284338,8388366,8387678
33792,8355495,8492544,8493164,8355598,8492541,8493173,8352715,8492537,8493182,8353509,8492541,8493174,8352788,8492546,8493172
34816,8428279,8596683,8598657,8427534,8596690,8598638,8426458,8596701,8598652,8426320,8596695,8598651,8427359,8596690,8598647
35840,8497937,8700839,8704118,8497684,8700834,8704119,8499648,8700828,8704107,8497312,8700836,8704126,8498204,8700834,8704105
36864,8568594,8805005,8809618,8570553,8805009,8809630,8570730,8805017,8809627,8569013,8805005,8809619,8567074,8805008,8809626
37888,8640936,8909168,8915117,8642347,8909171,8915118,8642081,8909176,8915114,8643747,8909176,8915126,8640790,8909175,8915108
38912,8713653,9013330,9020621,8713101,9013329,9020623,8711641,9013330,9020617,8713844,9013328,9020616,8713908,9013341,9020622
39936,8784393,9117508,9126116,8785100,9117500,9126116,8784425,9117497,9126108,8784570,9117492,9126114,8786117,9117503,9126114
40960,8857609,9221639,9231614,8856853,9221637,9231606,8856704,9221652,9231603,8854438,9221641,9231608,8856640,9221644,9231606
41984,8929281,9325807,9337109,8927201,9325805,9337122,8929519,9325812,9337107,8928154,9325813,9337103,8929706,9325800,9337106
43008,8999043,9429958,9442605,9000521,9429960,9442616,9000335,9429955,9442623,9000290,9429968,9442628,9000451,9429971,9442617
44032,9071064,9534158,9548164,9071413,9534162,9548164,9072139,9534161,9548160,9072018,9534155,9548169,9070854,9534145,9548166
45056,9143730,9638297,9653673,9143754,9638301,9653664,9142598,9638300,9653668,9143165,9638306,9653669,9142590,9638307,9653669
46080,9213604,9742461,9759200,9215133,9742462,9759196,9215144,9742480,9759197,9215808,9742471,9759201,9213409,9742460,9759196
47104,9287209,9846626,9864716,9285623,9846628,9864733,9286400,9846630,9864729,9285871,9846618,9864729,9286342,9846623,9864721
48128,9358644,9950800,9970278,9356353,9950804,9970286,9359671,9950798,9970281,9358873,9950795,9970272,9356882,9950791,9970273
49152,9428389,10054964,10075846,9431062,10054960,10075855,9429252,10054950,10075845,9430647,10054967,10075849,9430828,10054962,10075841
50176,9502148,10159112,10181406,9501386,10159110,10181406,9500057,10159111,10181409,9501774,10159102,10181397,9501261,10159113,10181416
51200,9572879,10263272,10286971,9573999,10263274,10286970,9573094,10263268,10286967,9574998,10263256,10286962,9573711,10263265,10286951
52224,9645307,10367458,10392565,9644244,10367454,10392572,9644753,10367463,10392571,9644536,10367462,10392572,9644463,10367446,10392565
53248,9717476,10471612,10498107,9716321,10471605,10498115,9718218,10471608,10498110,9714951,10471619,10498113,9716999,10471617,10498112
54272,9790931,10575776,10603632,9787816,10575773,10603647,9790218,10575776,10603649,9788754,10575759,10603639,9788483,10575769,10603648
55296,9860469,10679924,10709215,9859034,10679929,10709214,9860374,10679946,10709216,9859176,10679925,10709224,9860681,10679926,10709222
56320,9932184,10784094,10814823,9932034,10784086,10814823,9930642,10784091,10814836,9930841,10784096,10814828,9930825,10784109,10814829
57344,10003957,10888265,10920453,10003139,10888271,10920445,10003342,10888285,10920442,10002370,10888279,10920449,10002001,10888274,10920445
58368,10075281,10992448,11026075,10076473,10992453,11026086,10076597,10992461,11026074,10075529,10992448,11026076,10075572,10992459,11026078
59392,10145656,11096628,11131724,10144565,11096627,11131726,10147045,11096637,11131731,10146212,11096634,11131710,10146198,11096629,11131723
60416,10218667,11200773,11237360,10218191,11200788,11237353,10218588,11200772,11237350,10218201,11200774,11237370,10218173,11200782,11237362
61440,10291360,11304958,11343015,10289659,11304960,11343027,10289001,11304959,11343032,10288706,11304971,11343030,10291240,11304959,11343037
62464,10362951,11409115,11448699,10362008,11409123,11448685,10359981,11409110,11448700,10361183,11409122,11448694,10362481,11409129,11448708
63488,10432687,11513289,11554393,10433797,11513292,11554392,10434244,11513299,11554394,10433689,11513303,11554399,10433355,11513306,11554389
64512,10504143,11617455,11660090,10505618,11617459,11660085,10505281,11617451,11660088,10504996,11617453,11660094,10504675,11617464,11660086
