dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,5100314,3719065,3653512,5098998,3719056,3653535,5097299,3719129,3653546,5099369,3719133,3653565,5097991,3719158,3653574
1024,5201758,3868149,3805050,5203223,3868133,3805048,5201543,3868135,3805053,5201133,3868140,3805079,5201235,3868148,3805059
2048,5305664,4017146,3956505,5305269,4017152,3956517,5304757,4017127,3956524,5307718,4017157,3956495,5306428,4017178,3956495
3072,5409182,4166150,4107901,5408361,4166142,4107916,5409310,4166152,4107919,5409296,4166186,4107904,5408871,4166167,4107905
4096,5510815,4315251,4259311,5512252,4315243,4259338,5511478,4315282,4259312,5509830,4315252,4259296,5512923,4315245,4259310
5120,5615341,4464293,4410653,5614928,4464293,4410632,5614054,4464284,4410642,5614741,4464292,4410655,5615607,4464297,4410663
6144,5718191,4613347,4561932,5719294,4613345,4561928,5718653,4613332,4561906,5716035,4613290,4561899,5718546,4613309,4561918
7168,5822659,4762416,4713210,5820507,4762427,4713232,5821873,4762431,4713217,5819580,4762430,4713234,5820924,4762428,4713219
8192,5924275,4911618,4864497,5923798,4911610,4864504,5924277,4911586,4864497,5924534,4911591,4864494,5924337,4911588,4864500
9216,6028362,5060742,5015793,6027867,5060723,5015805,6027211,5060721,5015805,6026481,5060718,5015777,6028391,5060717,5015794
10240,6129749,5209914,5167151,6128627,5209910,5167171,6131137,5209895,5167163,6130611,5209898,5167152,6129345,5209890,5167136
11264,6233535,5359111,5318492,6236168,5359107,5318473,6233332,5359119,5318474,6234599,5359104,5318463,6232649,5359122,5318475
12288,6337259,5508395,5469841,6337875,5508388,5469820,6336158,5508401,5469849,6336404,5508395,5469832,6335668,5508390,5469830
13312,6441601,5657760,5621255,6440247,5657774,5621277,6440864,5657767,5621271,6439197,5657765,5621239,6439960,5657753,5621234
14336,6543014,5807156,5772680,6542696,5807151,5772697,6542899,5807161,5772689,6543496,5807169,5772699,6544688,5807169,5772686
15360,6648219,5956637,5924201,6647603,5956628,5924209,6647728,5956644,5924208,6647001,5956652,5924206,6647585,5956658,5924210
16384,6750509,6106169,6075732,6747496,6106153,6075730,6750546,6106135,6075703,6749702,6106146,6075718,6751263,6106163,6075725
17408,6851405,6255683,6227218,6854217,6255680,6227206,6853526,6255695,6227243,6854232,6255678,6227217,6855358,6255700,6227199
18432,6956747,6405215,6378720,6956643,6405210,6378735,6957107,6405224,6378737,6957104,6405216,6378730,6956518,6405192,6378747
19456,7061785,6554761,6530303,7059026,6554771,6530294,7062129,6554781,6530295,7060388,6554776,6530279,7061377,6554761,6530289
20480,7163123,6704290,6681804,7161855,6704307,6681814,7161993,6704303,6681811,7164812,6704292,6681808,7162988,6704299,6681808
21504,7266562,6853902,6833366,7268013,6853877,6833341,7267560,6853892,6833354,7267089,6853912,6833390,7268194,6853915,6833387
22528,7368980,7003439,6984889,7369679,7003447,6984862,7369528,7003438,6984865,7369449,7003427,6984857,7369068,7003457,6984887
23552,7472613,7153006,7136384,7473206,7153017,7136385,7471812,7153012,7136373,7473947,7153012,7136398,7472716,7152997,7136375
24576,7577890,7302546,7287863,7576654,7302546,7287875,7576913,7302565,7287882,7576402,7302563,7287873,7576800,7302556,7287855
25600,7679249,7452095,7439339,7679417,7452099,7439344,7682207,7452130,7439368,7679099,7452102,7439351,7679071,7452099,7439333
26624,7784699,7601640,7590829,7782404,7601625,7590811,7782811,7601649,7590826,7784204,7601640,7590812,7782791,7601630,7590831
27648,7887787,7751223,7742332,7886654,7751235,7742341,7885725,7751219,7742344,7886906,7751234,7742344,7887551,7751216,7742334
28672,7990098,7900740,7893800,7988790,7900728,7893781,7990128,7900754,7893804,7989244,7900763,7893793,7989537,7900752,7893783
29696,8092691,8050288,8045259,8092722,8050291,8045268,8093373,8050294,8045278,8093638,8050274,8045255,8093607,8050289,8045271
30720,8195982,8199883,8196769,8195616,8199886,8196771,8194701,8199860,8196776,8195056,8199868,8196773,8195287,8199866,8196765
31744,8298542,8349402,8348222,8301808,8349392,8348241,8298548,8349394,8348230,8299476,8349397,8348235,8301155,8349401,8348235
32768,8402755,8498951,8499701,8403411,8498971,8499702,8402719,8498948,8499703,8402701,8498947,8499724,8404311,8498956,8499704
33792,8507084,8648486,8651209,8506323,8648493,8651201,8507795,8648489,8651191,8504671,8648502,8651203,8506150,8648495,8651191
