dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,5966826,5055788,5012104,5966842,5055768,5012098,5966564,5055778,5012083,5966699,5055750,5012081,5965716,5055755,5012090,5966404,5055752,5012080,5965574,5055745,5012071,5966418,5055743,5012057,5965397,5055748,5012052,5966311,5055750,5012061
256,5984504,5081815,5038488,5985191,5081810,5038480,5985962,5081789,5038492,5984426,5081799,5038480,5984995,5081801,5038469,5985093,5081794,5038485,5986168,5081782,5038465,5985052,5081796,5038475,5984600,5081801,5038473,5983330,5081797,5038465
512,6003682,5107830,5064865,6003110,5107833,5064863,6001941,5107825,5064866,6003915,5107818,5064873,6001932,5107827,5064864,6002734,5107819,5064858,6003205,5107826,5064860,6002730,5107840,5064858,6000564,5107824,5064845,6002714,5107821,5064844
768,6020357,5133824,5091225,6020665,5133822,5091220,6020487,5133822,5091214,6021292,5133825,5091213,6020410,5133822,5091221,6021085,5133820,5091210,6020887,5133821,5091216,6020799,5133830,5091211,6020057,5133827,5091224,6019656,5133829,5091218
1024,6040283,5159869,5117611,6037759,5159853,5117607,6038734,5159868,5117617,6038302,5159851,5117600,6039897,5159863,5117601,6038369,5159853,5117597,6037890,5159858,5117607,6038869,5159859,5117594,6040012,5159857,5117597,6039775,5159865,5117600
1280,6057738,5185896,5143997,6057044,5185900,5143986,6057681,5185891,5143991,6057758,5185893,5143993,6056682,5185900,5143994,6056944,5185891,5143998,6055247,5185888,5143979,6056531,5185889,5143979,6058552,5185880,5143979,6057041,5185887,5143982
1536,6073931,5211945,5170386,6074213,5211941,5170391,6073599,5211940,5170379,6075470,5211947,5170378,6076552,5211943,5170382,6074831,5211950,5170381,6075852,5211938,5170395,6074942,5211949,5170379,6077651,5211936,5170374,6073482,5211939,5170380
1792,6091343,5237953,5196729,6093317,5237946,5196743,6092356,5237938,5196731,6092150,5237938,5196730,6092342,5237942,5196730,6091779,5237944,5196726,6091410,5237940,5196732,6092350,5237940,5196727,6091469,5237953,5196740,6092117,5237930,5196715
2048,6111257,5263988,5223142,6109505,5263995,5223131,6111011,5263985,5223134,6110047,5264000,5223124,6111212,5263987,5223129,6110175,5263990,5223126,6110883,5263978,5223124,6109710,5263998,5223119,6112106,5263985,5223116,6111657,5263991,5223126
2304,6127473,5290033,5249530,6127524,5290035,5249520,6128216,5290029,5249517,6127922,5290031,5249514,6127828,5290029,5249523,6129233,5290034,5249522,6127708,5290042,5249526,6130271,5290026,5249518,6128277,5290034,5249525,6130014,5290031,5249515
