dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,6001329,5055291,5010948,6001765,5055251,5010963,6001069,5055260,5010937,6000259,5055263,5010942,6001619,5055241,5010918,6002557,5055250,5010929,6000474,5055247,5010919,6002195,5055240,5010917,6001030,5055232,5010915,6002897,5055239,5010922
256,6018961,5081288,5037318,6018534,5081296,5037327,6018311,5081286,5037312,6019710,5081279,5037323,6018581,5081283,5037309,6020708,5081278,5037318,6020175,5081273,5037311,6020733,5081279,5037321,6019709,5081268,5037313,6020305,5081276,5037313
512,6036426,5107326,5063710,6037395,5107325,5063715,6036423,5107321,5063724,6036898,5107320,5063715,6038273,5107322,5063715,6036637,5107318,5063708,6036923,5107319,5063710,6037208,5107323,5063701,6037565,5107320,5063703,6037702,5107322,5063706
768,6055525,5133307,5090090,6054605,5133320,5090059,6055457,5133310,5090071,6054405,5133309,5090063,6056010,5133309,5090047,6055212,5133322,5090069,6054901,5133315,5090048,6054697,5133302,5090059,6055424,5133310,5090050,6054873,5133307,5090051
1024,6074463,5159365,5116468,6073872,5159360,5116472,6073743,5159362,5116466,6072903,5159360,5116464,6074160,5159369,5116476,6072894,5159372,5116468,6073630,5159358,5116457,6073798,5159367,5116475,6072131,5159360,5116470,6074264,5159355,5116461
1280,6090741,5185417,5142882,6091371,5185417,5142865,6091079,5185428,5142884,6090471,5185424,5142872,6090506,5185423,5142867,6090999,5185418,5142875,6091330,5185425,5142865,6090803,5185420,5142871,6090782,5185423,5142867,6090830,5185418,5142872
1536,6110548,5211473,5169283,6110271,5211480,5169261,6108985,5211467,5169268,6107019,5211452,5169263,6106138,5211469,5169261,6107805,5211459,5169271,6108190,5211464,5169268,6110210,5211451,5169267,6108746,5211459,5169270,6107864,5211464,5169261
1792,6127935,5237470,5195632,6125869,5237467,5195630,6126107,5237478,5195624,6127400,5237474,5195632,6125565,5237478,5195618,6125634,5237475,5195629,6125932,5237471,5195626,6126332,5237479,5195629,6126540,5237477,5195632,6126913,5237465,5195619
2048,6145924,5263509,5222019,6144035,5263510,5222036,6145799,5263510,5222008,6143490,5263496,5222007,6144880,5263501,5222022,6144227,5263512,5222020,6145951,5263513,5222005,6144594,5263510,5222017,6145015,5263510,5221999,6144273,5263501,5222012
2304,6162091,5289593,5248452,6162946,5289596,5248440,6163030,5289589,5248443,6163125,5289589,5248444,6162299,5289587,5248451,6162474,5289595,5248448,6162455,5289594,5248443,6161560,5289579,5248445,6162802,5289588,5248447,6162999,5289598,5248428
2560,6181284,5315646,5274849,6180614,5315644,5274847,6180032,5315641,5274855,6179692,5315653,5274858,6180585,5315643,5274852,6178279,5315636,5274845,6180065,5315644,5274851,6182093,5315646,5274842,6178669,5315640,5274846,6180701,5315636,5274848
2816,6197960,5341668,5301217,6198209,5341658,5301214,6199623,5341643,5301214,6199065,5341658,5301219,6199067,5341653,5301221,6198202,5341644,5301214,6198299,5341650,5301221,6199697,5341652,5301203,6197169,5341648,5301210,6197671,5341636,5301191
3072,6217318,5367689,5327608,6214744,5367699,5327613,6218186,5367707,5327601,6217152,5367695,5327601,6215432,5367693,5327611,6215312,5367710,5327610,6216599,5367698,5327594,6215650,5367696,5327599,6216596,5367685,5327599,6214389,5367711,5327611
3328,6236417,5393758,5354012,6233654,5393765,5354022,6234833,5393759,5354022,6233848,5393765,5354018,6234342,5393751,5354015,6233337,5393754,5354017,6234396,5393762,5354016,6236801,5393757,5354027,6233504,5393766,5354021,6234137,5393759,5354014
3584,6249764,5419817,5380424,6252915,5419818,5380417,6251480,5419810,5380414,6251489,5419811,5380421,6252331,5419805,5380425,6251878,5419814,5380416,6250787,5419819,5380416,6251510,5419805,5380415,6253978,5419808,5380418,6250908,5419827,5380426
3840,6271242,5445835,5406787,6268691,5445820,5406781,6269680,5445829,5406788,6270401,5445827,5406776,6271658,5445823,5406777,6270249,5445819,5406785,6269183,5445826,5406790,6270373,5445827,5406790,6269625,5445832,5406786,6270787,5445822,5406787
4096,6287600,5471867,5433172,6288132,5471868,5433186,6288092,5471859,5433180,6287286,5471861,5433181,6288632,5471865,5433167,6287675,5471878,5433179,6289546,5471866,5433184,6288786,5471869,5433178,6286853,5471875,5433165,6287467,5471861,5433169
4352,6306651,5497930,5459591,6305091,5497932,5459580,6303550,5497934,5459589,6306238,5497924,5459581,6308300,5497931,5459591,6307837,5497932,5459586,6304845,5497926,5459583,6305433,5497949,5459584,6305066,5497932,5459593,6304532,5497932,5459585
4608,6323662,5523993,5485989,6323894,5523978,5485996,6321614,5523984,5485983,6324338,5523984,5485983,6323287,5523986,5485994,6324938,5523987,5485982,6324664,5523996,5485996,6322680,5523992,5485987,6324627,5523983,5485987,6322469,5523989,5485987
4864,6342877,5550068,5512355,6340512,5550053,5512338,6342606,5550040,5512352,6341062,5550043,5512351,6342375,5550052,5512349,6341987,5550052,5512356,6340986,5550048,5512351,6339568,5550041,5512334,6340228,5550049,5512344,6341674,5550039,5512342
5120,6358646,5576056,5538725,6361021,5576060,5538701,6359441,5576067,5538718,6360653,5576050,5538710,6359984,5576063,5538711,6358867,5576060,5538728,6358584,5576070,5538714,6358706,5576062,5538708,6358983,5576076,5538710,6359420,5576061,5538709
5376,6376911,5602105,5565111,6379120,5602102,5565098,6377154,5602117,5565109,6377157,5602120,5565095,6377067,5602106,5565113,6378347,5602112,5565112,6376632,5602110,5565113,6377984,5602110,5565105,6377906,5602117,5565101,6378175,5602115,5565097
