dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,5100256,3718959,3653584,5099701,3718969,3653607,5099641,3718977,3653608,5098821,3718998,3653631,5099568,3718996,3653627
1024,5202290,3867999,3805111,5202244,3868011,3805109,5203181,3868009,3805125,5202385,3868005,3805095,5203505,3868019,3805113
2048,5304589,4017038,3956551,5306620,4017039,3956561,5305115,4017010,3956569,5305050,4017027,3956570,5304505,4017030,3956563
3072,5409529,4166055,4107962,5409876,4166050,4107955,5408744,4166027,4107956,5408769,4166040,4107938,5409390,4166061,4107955
4096,5513517,4315158,4259365,5513471,4315125,4259367,5513972,4315143,4259346,5513338,4315123,4259354,5512818,4315133,4259359
5120,5615701,4464188,4410696,5616419,4464191,4410704,5614987,4464207,4410691,5615700,4464208,4410715,5615097,4464212,4410709
6144,5717452,4613253,4562003,5718805,4613232,4561979,5719399,4613237,4561984,5716496,4613243,4561976,5719453,4613250,4562006
7168,5823046,4762363,4713298,5821896,4762346,4713287,5821924,4762342,4713273,5821100,4762329,4713271,5822879,4762334,4713282
8192,5924255,4911513,4864578,5924151,4911497,4864559,5923086,4911531,4864548,5924522,4911528,4864573,5926591,4911508,4864546
9216,6027138,5060622,5015852,6027706,5060632,5015842,6028434,5060638,5015849,6028669,5060653,5015850,6028113,5060653,5015842
10240,6130149,5209823,5167200,6130296,5209832,5167198,6129080,5209846,5167217,6128846,5209849,5167220,6131657,5209834,5167211
11264,6234996,5359065,5318525,6235427,5359051,5318535,6233354,5359051,5318518,6234800,5359072,5318544,6235210,5359066,5318537
12288,6338211,5508350,5469905,6337274,5508340,5469900,6338581,5508360,5469903,6338641,5508339,5469898,6337408,5508332,5469900
13312,6439495,5657722,5621330,6442214,5657748,5621322,6438690,5657725,5621331,6440618,5657740,5621336,6439457,5657739,5621310
14336,6543135,5807135,5772783,6545736,5807139,5772773,6544426,5807133,5772772,6546814,5807098,5772766,6543727,5807096,5772758
15360,6649011,5956613,5924272,6645722,5956610,5924272,6646797,5956613,5924278,6648352,5956619,5924266,6647760,5956599,5924273
16384,6752187,6106117,6075792,6748813,6106101,6075795,6748009,6106125,6075785,6751423,6106107,6075762,6750123,6106098,6075782
17408,6855291,6255626,6227258,6854708,6255651,6227271,6852999,6255657,6227265,6853921,6255662,6227262,6853634,6255670,6227261
18432,6956643,6405175,6378781,6956519,6405179,6378789,6957094,6405188,6378798,6956584,6405175,6378770,6958203,6405164,6378772
19456,7061505,6554741,6530327,7060724,6554735,6530352,7060088,6554763,6530331,7060660,6554722,6530317,7061409,6554727,6530319
20480,7163400,6704275,6681833,7162079,6704260,6681850,7164245,6704265,6681855,7162505,6704250,6681848,7164488,6704274,6681824
21504,7267176,6853854,6833395,7267548,6853862,6833415,7267067,6853876,6833406,7267910,6853856,6833435,7266695,6853861,6833400
22528,7369651,7003407,6984883,7369564,7003411,6984894,7369766,7003430,6984883,7370191,7003409,6984889,7370838,7003425,6984895
23552,7474238,7152971,7136415,7472916,7152981,7136409,7473782,7152981,7136393,7475740,7152993,7136395,7474935,7152969,7136408
24576,7576597,7302503,7287893,7577507,7302511,7287863,7576552,7302515,7287877,7577937,7302494,7287882,7577287,7302507,7287866
25600,7681388,7452052,7439371,7679919,7452055,7439354,7679155,7452054,7439363,7679644,7452071,7439366,7680588,7452059,7439382
26624,7783390,7601592,7590811,7781992,7601607,7590827,7782441,7601605,7590840,7782472,7601618,7590837,7783575,7601607,7590862
27648,7886992,7751213,7742371,7885656,7751189,7742371,7884666,7751187,7742327,7886754,7751177,7742343,7885822,7751183,7742349
28672,7989187,7900736,7893799,7988529,7900724,7893782,7989740,7900726,7893811,7989322,7900719,7893810,7991180,7900728,7893819
29696,8093675,8050290,8045273,8093094,8050273,8045268,8093745,8050277,8045273,8093312,8050262,8045263,8093178,8050259,8045262
30720,8198112,8199854,8196767,8196309,8199848,8196761,8195832,8199842,8196769,8197384,8199874,8196760,8195893,8199848,8196756
31744,8299638,8349409,8348252,8298869,8349402,8348235,8300375,8349402,8348257,8298575,8349397,8348256,8300094,8349417,8348243
32768,8403664,8498947,8499714,8402939,8498956,8499719,8403191,8498947,8499703,8403890,8498947,8499714,8403624,8498947,8499693
33792,8504365,8648504,8651198,8507824,8648500,8651190,8506772,8648517,8651224,8506472,8648515,8651224,8506042,8648520,8651218
34816,8608352,8798086,8802697,8608379,8798087,8802702,8610495,8798048,8802705,8608727,8798069,8802698,8608830,8798086,8802700
35840,8713000,8947639,8954198,8713207,8947648,8954192,8714879,8947635,8954216,8713599,8947652,8954198,8712668,8947634,8954202
36864,8816608,9097197,9105713,8815823,9097195,9105699,8817715,9097187,9105681,8816000,9097202,9105690,8815252,9097194,9105693
37888,8918626,9246804,9257250,8919752,9246781,9257257,8921334,9246793,9257241,8918739,9246800,9257246,8919881,9246788,9257259
38912,9020618,9396327,9408745,9022617,9396328,9408739,9022343,9396315,9408747,9022339,9396322,9408729,9024456,9396343,9408741
39936,9125016,9545871,9560238,9125934,9545895,9560247,9125308,9545891,9560250,9124772,9545885,9560261,9126175,9545894,9560270
40960,9228676,9695404,9711734,9228200,9695396,9711748,9227945,9695408,9711749,9229657,9695393,9711728,9227821,9695410,9711722
41984,9331698,9844954,9863298,9332066,9844967,9863298,9331955,9844970,9863280,9331853,9844972,9863294,9333448,9844968,9863317
43008,9437312,9994549,10014872,9436216,9994533,10014858,9435577,9994548,10014861,9434251,9994540,10014854,9435363,9994507,10014867
44032,9540582,10144084,10166414,9538076,10144102,10166412,9537365,10144090,10166426,9538366,10144114,10166406,9538460,10144097,10166441
45056,9641608,10293658,10317973,9643824,10293645,10317992,9643628,10293630,10317994,9642971,10293631,10317972,9641232,10293649,10317986
46080,9745458,10443175,10469544,9745318,10443177,10469568,9744920,10443170,10469553,9745151,10443163,10469521,9746424,10443170,10469547
47104,9849685,10592693,10621138,9849297,10592712,10621150,9847530,10592708,10621150,9849268,10592717,10621150,9849261,10592695,10621143
48128,9952231,10742218,10772780,9951518,10742195,10772796,9951914,10742206,10772782,9952979,10742219,10772788,9951637,10742209,10772770
49152,10056554,10891727,10924422,10053838,10891740,10924439,10056991,10891749,10924440,10055969,10891738,10924446,10054295,10891742,10924436
50176,10159826,11041266,11076061,10158936,11041227,11076031,10157506,11041228,11076036,10159500,11041223,11076077,10157745,11041232,11076036
51200,10262836,11190771,11227606,10264852,11190766,11227590,10263211,11190760,11227592,10261077,11190764,11227612,10262789,11190782,11227614
52224,10366126,11340244,11379232,10365058,11340235,11379222,10365054,11340230,11379227,10366216,11340221,11379215,10364727,11340220,11379213
53248,10468991,11489694,11530847,10469700,11489691,11530860,10468816,11489684,11530871,10468548,11489684,11530857,10468384,11489684,11530854
54272,10572089,11639211,11682592,10573504,11639207,11682570,10571053,11639209,11682582,10571676,11639201,11682598,10571742,11639218,11682588
55296,10674270,11788654,11834298,10677006,11788670,11834308,10675402,11788644,11834290,10674776,11788636,11834287,10676653,11788660,11834297
56320,10778705,11938058,11985980,10777812,11938056,11985984,10777927,11938062,11985973,10777418,11938067,11985980,10777404,11938070,11985991
57344,10880430,12087495,12137740,10882393,12087517,12137761,10883041,12087499,12137734,10880789,12087499,12137743,10881732,12087510,12137779
58368,10983857,12236922,12289554,10984582,12236909,12289532,10986894,12236905,12289510,10983186,12236896,12289539,10984349,12236909,12289502
59392,11088011,12386266,12441493,11087251,12386263,12441473,11089589,12386281,12441508,11088892,12386272,12441487,11087701,12386247,12441464
60416,11191358,12535643,12593426,11192699,12535653,12593420,11189951,12535647,12593407,11192735,12535647,12593414,11191864,12535656,12593376
61440,11293965,12685122,12745139,11295488,12685112,12745139,11295215,12685091,12745127,11294903,12685106,12745142,11293860,12685096,12745131
62464,11397445,12834447,12897064,11396689,12834457,12897052,11396855,12834447,12897069,11398605,12834461,12897072,11397976,12834452,12897072
63488,11500793,12983764,13049053,11502684,12983787,13049061,11500610,12983797,13049073,11501355,12983790,13049086,11501550,12983765,13049068
64512,11606097,13133112,13201120,11603899,13133105,13201147,11605194,13133101,13201132,11605695,13133077,13201130,11604094,13133084,13201132
