dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,6023669,5055065,5010201,6023102,5055047,5010186,6021408,5055024,5010186,6023257,5055037,5010184,6024881,5055026,5010179
1024,6095293,5159178,5115807,6097644,5159164,5115816,6094804,5159160,5115815,6096762,5159155,5115811,6093703,5159160,5115801
2048,6167686,5263338,5221445,6167573,5263346,5221454,6168219,5263354,5221455,6167555,5263343,5221451,6169046,5263348,5221460
3072,6239469,5367511,5327084,6240231,5367493,5327076,6240206,5367496,5327069,6240479,5367495,5327074,6241271,5367501,5327056
4096,6310569,5471675,5432682,6313072,5471674,5432693,6312200,5471661,5432680,6312197,5471664,5432673,6311940,5471658,5432676
5120,6385041,5575833,5538300,6384644,5575847,5538298,6383307,5575837,5538293,6384229,5575833,5538293,6384758,5575846,5538300
6144,6454707,5680020,5643893,6455938,5680018,5643848,6457843,5680014,5643904,6456501,5680026,5643851,6456371,5680030,5643899
7168,6526233,5784208,5749449,6527573,5784220,5749453,6527382,5784199,5749437,6528276,5784208,5749449,6526280,5784207,5749449
8192,6600461,5888385,5855040,6598363,5888387,5855049,6600603,5888387,5855051,6598628,5888391,5855049,6599848,5888388,5855049
9216,6673072,5992545,5960636,6671288,5992549,5960643,6670680,5992527,5960642,6672180,5992540,5960641,6671819,5992545,5960628
10240,6745378,6096741,6066263,6744483,6096752,6066268,6744204,6096766,6066270,6743658,6096751,6066265,6744620,6096747,6066272
11264,6815620,6200908,6171813,6815348,6200903,6171819,6816382,6200902,6171815,6816272,6200909,6171807,6816081,6200909,6171802
12288,6888381,6305079,6277389,6888760,6305087,6277376,6887704,6305083,6277382,6887242,6305071,6277369,6887238,6305095,6277383
13312,6957969,6409275,6382938,6960212,6409246,6382936,6959613,6409259,6382942,6961073,6409257,6382942,6960089,6409257,6382947
14336,7031381,6513405,6488465,7031453,6513401,6488462,7032694,6513415,6488466,7031727,6513413,6488464,7031601,6513404,6488464
15360,7104387,6617564,6593992,7103635,6617560,6593998,7102597,6617563,6593993,7103052,6617568,6593997,7104060,6617557,6593987
16384,7175164,6721750,6699534,7173745,6721756,6699542,7176425,6721754,6699544,7175454,6721759,6699538,7175342,6721753,6699551
17408,7246700,6825915,6805073,7247431,6825916,6805070,7245434,6825911,6805075,7246157,6825916,6805073,7247680,6825913,6805061
18432,7317239,6930087,6910619,7317746,6930104,6910600,7318969,6930092,6910614,7320229,6930093,6910614,7317663,6930097,6910611
19456,7390399,7034246,7016135,7390914,7034270,7016122,7391938,7034266,7016124,7391283,7034261,7016126,7391290,7034260,7016134
20480,7462070,7138426,7121646,7463677,7138420,7121647,7463184,7138421,7121637,7462873,7138426,7121651,7462396,7138434,7121645
21504,7534112,7242576,7227147,7534724,7242604,7227165,7535823,7242593,7227156,7536613,7242597,7227160,7535627,7242598,7227158
22528,7607994,7346746,7332641,7605381,7346750,7332643,7605997,7346754,7332650,7605918,7346766,7332652,7604436,7346752,7332639
23552,7679511,7450928,7438168,7678326,7450940,7438162,7679506,7450940,7438168,7676697,7450932,7438166,7679598,7450927,7438176
24576,7751865,7555112,7543690,7751371,7555109,7543685,7751083,7555116,7543695,7752122,7555120,7543699,7750081,7555114,7543696
25600,7821970,7659277,7649204,7824993,7659278,7649225,7823192,7659284,7649230,7822835,7659285,7649225,7823564,7659298,7649231
26624,7894710,7763427,7754728,7894790,7763439,7754727,7895576,7763433,7754726,7895390,7763443,7754721,7894932,7763444,7754725
27648,7967787,7867605,7860225,7964672,7867602,7860236,7968718,7867600,7860237,7968173,7867604,7860223,7969074,7867608,7860232
28672,8037941,7971756,7965725,8038014,7971750,7965716,8040002,7971746,7965724,8039651,7971746,7965711,8039405,7971746,7965720
29696,8111570,8075919,8071238,8113412,8075920,8071233,8111688,8075913,8071240,8110315,8075930,8071227,8110169,8075909,8071222
30720,8182156,8180083,8176725,8182028,8180081,8176737,8182494,8180079,8176737,8182874,8180077,8176726,8180706,8180075,8176743
31744,8254864,8284275,8282284,8254992,8284282,8282280,8254121,8284276,8282277,8254913,8284290,8282283,8254889,8284273,8282279
32768,8326875,8388434,8387769,8326126,8388428,8387773,8326292,8388429,8387769,8327058,8388437,8387788,8325833,8388424,8387777
33792,8397681,8492621,8493293,8398011,8492609,8493286,8397456,8492621,8493301,8398104,8492605,8493301,8398415,8492609,8493297
34816,8469825,8596758,8598779,8471429,8596749,8598777,8469151,8596755,8598780,8470366,8596760,8598778,8469854,8596764,8598787
35840,8541466,8700908,8704275,8543669,8700901,8704263,8543880,8700895,8704276,8542071,8700908,8704268,8542301,8700897,8704272
36864,8613666,8805083,8809801,8613240,8805085,8809807,8614741,8805087,8809805,8613917,8805089,8809806,8615089,8805072,8809804
37888,8686187,8909214,8915275,8687180,8909223,8915284,8686086,8909219,8915276,8686011,8909217,8915299,8685905,8909221,8915292
38912,8758418,9013409,9020827,8758928,9013412,9020824,8758557,9013413,9020825,8756860,9013407,9020815,8757725,9013412,9020825
39936,8830140,9117557,9126328,8831865,9117562,9126325,8829300,9117562,9126344,8829868,9117552,9126345,8830292,9117558,9126339
40960,8901096,9221720,9231850,8902627,9221709,9231852,8902781,9221702,9231846,8902658,9221716,9231845,8901782,9221721,9231842
41984,8975057,9325870,9337361,8974475,9325862,9337359,8974130,9325865,9337366,8973805,9325859,9337352,8974485,9325877,9337368
43008,9044314,9430027,9442880,9047164,9430025,9442889,9045493,9430024,9442893,9044882,9430023,9442877,9044649,9430019,9442890
44032,9117769,9534193,9548431,9119072,9534207,9548451,9117835,9534213,9548444,9119203,9534200,9548434,9118510,9534199,9548440
45056,9190141,9638350,9653982,9190842,9638355,9653998,9187909,9638363,9653997,9187928,9638365,9653995,9190191,9638352,9654000
46080,9261316,9742533,9759572,9260178,9742545,9759568,9263532,9742547,9759570,9261088,9742532,9759553,9260452,9742528,9759557
47104,9332964,9846694,9865125,9335093,9846696,9865114,9332697,9846709,9865137,9333448,9846693,9865129,9335432,9846694,9865129
48128,9406451,9950879,9970702,9404977,9950884,9970692,9406760,9950878,9970696,9405409,9950884,9970694,9404497,9950892,9970699
49152,9476976,10055060,10076205,9476315,10055036,10076189,9478469,10055029,10076198,9478205,10055043,10076202,9477666,10055048,10076196
50176,9549413,10159196,10181764,9551657,10159211,10181770,9548257,10159214,10181773,9550864,10159220,10181760,9551909,10159205,10181768
51200,9622840,10263353,10287317,9619907,10263372,10287315,9622158,10263363,10287325,9623431,10263362,10287334,9621107,10263362,10287331
52224,9692375,10367556,10392946,9695244,10367560,10392940,9691645,10367566,10392938,9692750,10367580,10392940,9693003,10367561,10392933
53248,9765382,10471710,10498505,9766001,10471708,10498504,9766072,10471708,10498509,9765896,10471703,10498510,9765042,10471719,10498511
54272,9838146,10575869,10604103,9838417,10575866,10604104,9838467,10575889,10604098,9837086,10575874,10604093,9840871,10575881,10604101
55296,9909310,10680025,10709699,9908255,10680026,10709698,9911156,10680029,10709704,9908508,10680045,10709708,9909674,10680024,10709686
56320,9980812,10784208,10815316,9982120,10784214,10815317,9982605,10784213,10815330,9980826,10784212,10815332,9983259,10784219,10815330
57344,10052717,10888370,10920945,10053651,10888366,10920950,10052588,10888380,10920943,10052838,10888371,10920948,10053538,10888381,10920944
58368,10124885,10992551,11026603,10126111,10992554,11026609,10126372,10992546,11026602,10126646,10992559,11026595,10125015,10992557,11026598
59392,10198768,11096727,11132245,10198537,11096730,11132246,10196027,11096736,11132254,10197670,11096730,11132254,10199405,11096725,11132260
60416,10270594,11200871,11237888,10267627,11200872,11237900,10270119,11200872,11237898,10270995,11200865,11237889,10268082,11200874,11237890
61440,10340394,11305031,11343559,10340436,11305023,11343552,10340159,11305040,11343555,10341407,11305029,11343557,10339598,11305041,11343564
62464,10413127,11409215,11449264,10412634,11409218,11449254,10412074,11409205,11449240,10412833,11409208,11449258,10414279,11409205,11449252
63488,10486199,11513377,11554955,10484769,11513386,11554959,10486022,11513375,11554968,10484627,11513377,11554961,10485272,11513380,11554961
64512,10558623,11617536,11660668,10556556,11617547,11660675,10557912,11617550,11660676,10558369,11617541,11660677,10559336,11617538,11660683
