dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,5053059,3718339,3652158,5054240,3718376,3652181,5055867,3718371,3652192,5053821,3718372,3652190,5055598,3718396,3652190,5051253,3718400,3652198,5053290,3718414,3652199,5053821,3718409,3652207,5053342,3718404,3652212,5052172,3718416,3652210
256,5079276,3755608,3690031,5080517,3755604,3690063,5079465,3755605,3690023,5078630,3755613,3690042,5079739,3755618,3690033,5078545,3755617,3690033,5077893,3755611,3690053,5080020,3755629,3690033,5079646,3755616,3690029,5078439,3755618,3690022
512,5105764,3792866,3727909,5102453,3792866,3727912,5105422,3792874,3727914,5104826,3792876,3727904,5103694,3792872,3727913,5106254,3792873,3727916,5105989,3792890,3727892,5105759,3792872,3727888,5105532,3792882,3727872,5105608,3792875,3727900
768,5131980,3830134,3765787,5130851,3830122,3765785,5131382,3830135,3765772,5131552,3830163,3765771,5130862,3830155,3765786,5130437,3830123,3765770,5130066,3830138,3765764,5132018,3830152,3765765,5132627,3830147,3765773,5130267,3830138,3765772
1024,5159490,3867402,3803627,5158594,3867402,3803633,5158130,3867395,3803627,5156921,3867389,3803629,5159565,3867415,3803624,5157869,3867416,3803640,5159411,3867419,3803659,5156891,3867400,3803623,5157900,3867391,3803627,5157188,3867417,3803645
1280,5182845,3904622,3841467,5183416,3904630,3841450,5181441,3904618,3841443,5182750,3904601,3841456,5183188,3904602,3841424,5182657,3904598,3841414,5181948,3904602,3841428,5182435,3904606,3841445,5184311,3904602,3841440,5184996,3904614,3841432
1536,5209986,3941857,3879296,5207754,3941863,3879301,5210171,3941846,3879273,5209317,3941848,3879282,5209467,3941851,3879266,5208397,3941838,3879265,5209304,3941867,3879284,5209339,3941847,3879292,5209569,3941860,3879277,5207865,3941874,3879310
1792,5235430,3979147,3917189,5235020,3979127,3917181,5235687,3979140,3917169,5234914,3979155,3917164,5232782,3979142,3917154,5236135,3979115,3917170,5233834,3979149,3917171,5234407,3979154,3917162,5235915,3979128,3917161,5236684,3979129,3917164
2048,5259288,4016392,3955004,5260039,4016404,3955019,5260755,4016397,3955004,5259815,4016376,3955012,5261000,4016393,3955010,5262017,4016374,3955002,5261347,4016384,3955002,5260157,4016389,3955003,5261260,4016395,3954994,5261082,4016387,3955005
2304,5287280,4053604,3992815,5286094,4053604,3992805,5286262,4053600,3992785,5287987,4053604,3992805,5287381,4053572,3992806,5286161,4053608,3992793,5287665,4053598,3992792,5284436,4053582,3992784,5286951,4053584,3992796,5285898,4053592,3992781
2560,5313362,4090846,4030671,5312922,4090860,4030657,5311603,4090872,4030651,5311460,4090862,4030647,5312090,4090875,4030647,5313957,4090857,4030658,5312320,4090858,4030665,5312948,4090851,4030637,5312206,4090884,4030629,5313338,4090844,4030639
2816,5336825,4128132,4068498,5339737,4128111,4068467,5336896,4128097,4068486,5337009,4128103,4068488,5338509,4128119,4068472,5338879,4128123,4068483,5338482,4128110,4068479,5340183,4128117,4068488,5336924,4128117,4068490,5339381,4128114,4068496
3072,5364424,4165430,4106392,5365236,4165426,4106374,5364825,4165414,4106367,5365254,4165414,4106378,5364913,4165427,4106377,5364048,4165436,4106358,5364889,4165433,4106393,5365319,4165423,4106381,5366521,4165408,4106349,5364281,4165421,4106381
3328,5390196,4202695,4144235,5390270,4202677,4144217,5389653,4202693,4144245,5392720,4202692,4144216,5392063,4202685,4144226,5389469,4202687,4144230,5389417,4202685,4144216,5388472,4202710,4144206,5388493,4202700,4144233,5390922,4202706,4144233
3584,5415374,4239904,4182029,5418178,4239898,4182021,5415606,4239908,4182001,5417898,4239915,4182047,5415800,4239920,4182030,5417643,4239895,4182010,5414390,4239895,4182025,5418124,4239911,4182019,5414886,4239900,4182026,5415636,4239923,4182013
3840,5441144,4277171,4219865,5442421,4277169,4219864,5442641,4277183,4219890,5441858,4277171,4219848,5442561,4277183,4219863,5441443,4277172,4219864,5442585,4277165,4219869,5439132,4277165,4219864,5442978,4277186,4219873,5442939,4277170,4219867
4096,5467701,4314485,4257736,5470415,4314498,4257766,5467160,4314472,4257751,5469757,4314484,4257771,5465980,4314493,4257757,5468882,4314499,4257778,5468899,4314501,4257756,5468991,4314488,4257763,5468854,4314497,4257748,5467093,4314495,4257752
4352,5492449,4351733,4295581,5493693,4351730,4295601,5493493,4351730,4295566,5495364,4351724,4295597,5494443,4351748,4295603,5493337,4351749,4295581,5495039,4351744,4295584,5493002,4351740,4295579,5495073,4351758,4295583,5492891,4351732,4295596
4608,5519423,4388976,4333367,5520874,4388956,4333362,5519127,4388937,4333366,5521253,4388949,4333360,5520359,4388958,4333361,5520912,4388938,4333357,5518533,4388955,4333367,5519515,4388954,4333379,5518942,4388970,4333358,5519327,4388956,4333353
4864,5543963,4426229,4371218,5547605,4426224,4371194,5545691,4426229,4371219,5543920,4426226,4371199,5545608,4426230,4371201,5546862,4426221,4371212,5546388,4426223,4371200,5544296,4426216,4371207,5546022,4426225,4371216,5546059,4426227,4371209
5120,5571921,4463549,4409081,5571319,4463539,4409100,5571113,4463541,4409085,5572166,4463547,4409080,5571673,4463548,4409097,5571836,4463560,4409095,5572442,4463558,4409099,5570841,4463543,4409096,5571293,4463538,4409066,5573001,4463525,4409080
5376,5598178,4500809,4446920,5599645,4500824,4446919,5597919,4500823,4446919,5598209,4500810,4446933,5597250,4500830,4446911,5596627,4500817,4446934,5596129,4500807,4446899,5596449,4500803,4446909,5596968,4500800,4446916,5598465,4500807,4446913
5632,5623800,4538086,4484782,5623252,4538090,4484768,5622930,4538088,4484768,5625057,4538083,4484787,5622551,4538085,4484774,5624088,4538100,4484763,5623173,4538113,4484793,5624745,4538091,4484781,5624819,4538089,4484779,5623202,4538099,4484762
5888,5648851,4575309,4522530,5648821,4575315,4522548,5648644,4575314,4522559,5649442,4575330,4522564,5650715,4575304,4522558,5648523,4575327,4522557,5648542,4575313,4522567,5647654,4575306,4522565,5649358,4575339,4522541,5647514,4575325,4522554
6144,5675249,4612574,4560380,5674750,4612600,4560372,5675079,4612573,4560381,5675148,4612591,4560406,5674065,4612590,4560370,5676605,4612594,4560399,5675435,4612588,4560394,5675117,4612580,4560376,5676098,4612586,4560395,5675157,4612607,4560392
6400,5702089,4649917,4598258,5700377,4649911,4598283,5699715,4649912,4598271,5702221,4649922,4598263,5700884,4649912,4598255,5701680,4649912,4598255,5701617,4649905,4598254,5703396,4649905,4598264,5703071,4649894,4598246,5700147,4649904,4598245
6656,5726874,4687182,4636087,5726307,4687172,4636087,5725795,4687176,4636083,5726926,4687177,4636097,5727076,4687169,4636104,5726765,4687194,4636092,5726803,4687160,4636092,5727220,4687195,4636085,5727348,4687159,4636067,5727256,4687155,4636080
6912,5752308,4724408,4673852,5750790,4724406,4673872,5754320,4724417,4673895,5753200,4724407,4673895,5754241,4724394,4673863,5753560,4724396,4673864,5753332,4724397,4673871,5754271,4724408,4673855,5754525,4724403,4673859,5753538,4724401,4673878
7168,5779865,4761711,4711710,5778372,4761680,4711708,5778129,4761680,4711703,5778432,4761658,4711701,5779390,4761683,4711690,5779825,4761683,4711704,5780397,4761708,4711721,5780949,4761684,4711702,5777870,4761696,4711699,5778533,4761685,4711707
7424,5804170,4799008,4749565,5805151,4798993,4749562,5805555,4798989,4749586,5806695,4799002,4749578,5804795,4799011,4749566,5803457,4799018,4749582,5806407,4798999,4749587,5804750,4799012,4749582,5803353,4799008,4749586,5803961,4798997,4749561
7680,5831203,4836307,4787407,5830006,4836279,4787404,5831338,4836276,4787381,5830289,4836275,4787398,5832139,4836275,4787393,5830810,4836296,4787403,5830695,4836286,4787406,5829657,4836265,4787401,5830338,4836275,4787386,5829677,4836283,4787401
7936,5857294,4873526,4825178,5857236,4873542,4825186,5856157,4873548,4825182,5856689,4873524,4825204,5856465,4873532,4825181,5859291,4873543,4825189,5856212,4873522,4825171,5855130,4873522,4825181,5858014,4873527,4825203,5856507,4873545,4825188
8192,5882636,4910818,4863015,5882160,4910818,4863006,5880878,4910819,4862956,5881842,4910813,4862952,5881028,4910803,4863021,5880665,4910826,4862966,5882169,4910813,4863023,5882142,4910797,4863018,5882451,4910806,4862984,5883196,4910787,4862965
8448,5909118,4948160,4900840,5907806,4948145,4900843,5908071,4948145,4900829,5907714,4948169,4900822,5908988,4948140,4900832,5908614,4948151,4900824,5909060,4948165,4900846,5908794,4948168,4900831,5908020,4948152,4900845,5908491,4948154,4900829
8704,5935176,4985453,4938662,5935352,4985430,4938677,5933806,4985450,4938670,5933293,4985455,4938690,5936247,4985454,4938659,5935880,4985444,4938678,5935015,4985456,4938702,5933999,4985470,4938676,5934758,4985464,4938703,5933292,4985445,4938697
8960,5958700,5022742,4976511,5959931,5022739,4976511,5960668,5022762,4976515,5960213,5022737,4976518,5960161,5022744,4976498,5960896,5022731,4976510,5961558,5022717,4976507,5961201,5022729,4976516,5959933,5022750,4976513,5959780,5022733,4976504
9216,5986686,5059971,5014302,5984661,5059982,5014292,5984313,5059991,5014285,5985874,5059986,5014286,5984878,5059985,5014305,5986331,5059970,5014282,5985908,5059979,5014286,5986572,5059964,5014289,5985589,5059976,5014273,5986453,5059973,5014296
9472,6013721,5097296,5052129,6012382,5097273,5052124,6013230,5097271,5052132,6012790,5097279,5052142,6012903,5097282,5052125,6012607,5097265,5052141,6013490,5097274,5052131,6010713,5097268,5052140,6012199,5097281,5052116,6014085,5097260,5052096
9728,6039676,5134599,5090018,6036698,5134586,5090009,6038944,5134587,5089999,6036602,5134595,5090005,6038695,5134595,5090021,6038013,5134583,5089994,6037573,5134595,5090002,6038504,5134595,5090003,6038508,5134593,5090006,6039793,5134599,5090005
9984,6064870,5171881,5127869,6063613,5171875,5127858,6065549,5171877,5127866,6064698,5171903,5127848,6065108,5171874,5127847,6063780,5171888,5127844,6066118,5171871,5127861,6065028,5171892,5127884,6064582,5171875,5127861,6063388,5171877,5127871
10240,6088818,5209145,5165684,6091442,5209149,5165664,6089255,5209153,5165664,6090653,5209152,5165672,6087821,5209136,5165671,6091792,5209150,5165667,6091100,5209114,5165644,6088850,5209140,5165660,6089312,5209129,5165666,6090576,5209129,5165678
10496,6116486,5246448,5203489,6115306,5246439,5203493,6115670,5246453,5203507,6115164,5246433,5203512,6115037,5246432,5203497,6115815,5246417,5203487,6115156,5246443,5203503,6115735,5246447,5203505,6116235,5246440,5203493,6116443,5246444,5203495
