dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,6004870,5055582,5011975,6004446,5055563,5011972,6007273,5055557,5011974,6003135,5055549,5011968,6006683,5055563,5011958
1024,6076912,5159691,5117533,6077271,5159680,5117530,6077783,5159696,5117531,6075939,5159676,5117521,6075747,5159657,5117515
2048,6149573,5263829,5223107,6150262,5263831,5223102,6150586,5263843,5223116,6149835,5263831,5223093,6148774,5263834,5223094
3072,6221721,5367987,5328669,6222000,5367990,5328665,6219416,5367987,5328661,6221265,5367989,5328674,6219381,5367994,5328664
4096,6292271,5472169,5434184,6294259,5472170,5434200,6292372,5472160,5434188,6293689,5472171,5434189,6291764,5472170,5434193
5120,6364824,5576344,5539762,6364912,5576344,5539761,6364707,5576339,5539772,6363348,5576342,5539761,6365926,5576342,5539766
6144,6436409,5680497,5645319,6436781,5680517,5645325,6437933,5680502,5645318,6439089,5680506,5645315,6437197,5680506,5645303
7168,6508635,5784661,5750908,6509586,5784659,5750888,6508917,5784660,5750900,6510160,5784656,5750893,6508545,5784663,5750916
8192,6579667,5888849,5856453,6581514,5888839,5856457,6580430,5888837,5856440,6581954,5888829,5856445,6581728,5888826,5856450
9216,6651878,5992996,5961974,6651656,5992988,5961966,6654177,5993000,5961965,6652379,5992995,5961968,6652089,5992991,5961957
10240,6725562,6097211,6067537,6725694,6097206,6067545,6724019,6097210,6067544,6725106,6097219,6067545,6722604,6097206,6067544
11264,6797790,6201386,6173067,6795442,6201379,6173072,6796921,6201382,6173065,6798154,6201374,6173067,6796820,6201368,6173068
12288,6868001,6305543,6278581,6870086,6305554,6278572,6869699,6305546,6278581,6870354,6305550,6278587,6868035,6305545,6278578
13312,6939760,6409708,6384086,6940000,6409717,6384086,6938444,6409711,6384093,6941445,6409720,6384084,6942502,6409720,6384075
14336,7013192,6513882,6489577,7012903,6513886,6489599,7014272,6513883,6489587,7012437,6513885,6489596,7013853,6513891,6489605
15360,7084086,6618063,6595103,7084703,6618060,6595102,7083347,6618062,6595110,7083578,6618057,6595100,7085621,6618062,6595096
16384,7157081,6722229,6700590,7157264,6722228,6700579,7157126,6722220,6700594,7156824,6722232,6700598,7156253,6722233,6700590
17408,7227576,6826369,6806057,7231216,6826376,6806057,7229081,6826387,6806071,7229597,6826385,6806064,7227826,6826386,6806063
18432,7301273,6930558,6911569,7300542,6930564,6911547,7300800,6930557,6911558,7301234,6930559,6911564,7300441,6930562,6911547
19456,7372143,7034702,7017033,7372722,7034712,7017020,7373180,7034713,7017029,7372611,7034711,7017032,7372836,7034705,7017020
20480,7444135,7138860,7122479,7444283,7138858,7122483,7445120,7138860,7122491,7442272,7138852,7122481,7445295,7138858,7122474
21504,7516093,7243002,7227910,7516368,7243002,7227915,7516681,7243005,7227929,7517403,7243014,7227921,7515021,7243005,7227909
22528,7587824,7347172,7333384,7587673,7347169,7333387,7588990,7347167,7333384,7587977,7347171,7333393,7588444,7347170,7333385
