dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,5079605,3719448,3655809,5080680,3719482,3655821,5080334,3719502,3655822,5079854,3719514,3655839,5079227,3719523,3655847
1024,5184523,3868495,3807247,5184231,3868485,3807242,5184815,3868500,3807261,5183442,3868503,3807246,5182991,3868496,3807243
2048,5286325,4017471,3958599,5287190,4017478,3958584,5285144,4017478,3958576,5287194,4017493,3958598,5287166,4017498,3958600
3072,5389411,4166513,4109914,5389000,4166520,4109911,5387512,4166507,4109904,5389354,4166519,4109910,5389471,4166514,4109910
4096,5492500,4315535,4261175,5492445,4315518,4261144,5490908,4315502,4261170,5491179,4315499,4261163,5493065,4315529,4261177
5120,5594614,4464565,4412431,5596123,4464537,4412418,5595756,4464554,4412418,5596808,4464543,4412415,5596089,4464562,4412401
6144,5698534,4613601,4563621,5697174,4613573,4563592,5698081,4613569,4563617,5697607,4613577,4563598,5699109,4613598,4563604
7168,5802638,4762689,4714795,5800663,4762678,4714789,5801619,4762678,4714768,5801383,4762689,4714802,5802082,4762674,4714768
8192,5904967,4911791,4866051,5905945,4911765,4866039,5903821,4911779,4866017,5904165,4911792,4866064,5903113,4911755,4866028
9216,6007854,5060892,5017252,6008998,5060871,5017254,6007874,5060887,5017242,6009124,5060878,5017234,6008375,5060876,5017248
10240,6110565,5210103,5168532,6113244,5210096,5168516,6111857,5210094,5168525,6110834,5210085,5168507,6113297,5210113,5168525
11264,6214279,5359336,5319788,6215522,5359295,5319766,6216191,5359301,5319764,6213283,5359312,5319757,6215576,5359305,5319759
12288,6317284,5508590,5471067,6318378,5508590,5471062,6319761,5508588,5471061,6317488,5508591,5471062,6316909,5508584,5471066
13312,6421579,5657952,5622433,6421511,5657965,5622442,6420951,5657970,5622453,6419224,5657986,5622440,6422398,5657969,5622444
14336,6525164,5807417,5773876,6524566,5807421,5773860,6524579,5807417,5773863,6525417,5807420,5773864,6523707,5807419,5773864
15360,6626878,5956863,5925287,6627715,5956865,5925304,6629874,5956874,5925293,6627514,5956874,5925294,6627649,5956873,5925291
16384,6730407,6106369,6076670,6731516,6106373,6076668,6731092,6106360,6076682,6731714,6106362,6076678,6730197,6106364,6076657
17408,6834090,6255856,6228099,6832665,6255858,6228111,6833846,6255863,6228093,6834395,6255845,6228104,6833578,6255851,6228101
18432,6937480,6405350,6379588,6938146,6405369,6379604,6937854,6405353,6379576,6937115,6405366,6379595,6937366,6405350,6379571
19456,7040406,6554858,6531037,7043114,6554867,6531011,7041856,6554864,6531010,7039949,6554860,6531019,7041832,6554878,6531025
20480,7143715,6704387,6682454,7144927,6704391,6682455,7142168,6704400,6682462,7143511,6704389,6682471,7142923,6704390,6682448
21504,7247235,6853885,6833879,7248697,6853895,6833867,7248731,6853888,6833859,7249523,6853899,6833861,7246511,6853882,6833867
22528,7351677,7003427,6985306,7351841,7003432,6985314,7350559,7003447,6985312,7351095,7003445,6985333,7350286,7003434,6985303
23552,7453160,7153019,7136795,7454357,7153017,7136783,7452739,7153024,7136772,7452855,7153026,7136783,7452549,7153019,7136772
24576,7557950,7302557,7288204,7557778,7302535,7288184,7556854,7302545,7288199,7557357,7302546,7288197,7559506,7302546,7288219
25600,7660811,7452088,7439624,7660631,7452064,7439614,7661343,7452097,7439614,7661107,7452060,7439605,7660481,7452068,7439602
26624,7763224,7601610,7591024,7763401,7601620,7591022,7763625,7601632,7591028,7761606,7601606,7591009,7764399,7601618,7591025
27648,7866963,7751154,7742474,7866210,7751167,7742459,7867008,7751174,7742457,7867601,7751178,7742470,7867444,7751170,7742471
