dac_code,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad,iSense,VSense,VLoad
0,5989409,5053728,5010343,5988199,5053705,5010333,5987643,5053686,5010330,5987123,5053689,5010329,5986876,5053681,5010321,5987069,5053689,5010319,5988188,5053674,5010317,5989277,5053678,5010315,5988292,5053680,5010309,5988575,5053683,5010315
256,6005083,5079724,5036718,6003961,5079730,5036723,6006040,5079731,5036718,6006649,5079738,5036723,6005048,5079739,5036729,6006420,5079731,5036716,6006846,5079726,5036722,6006449,5079719,5036715,6005475,5079727,5036715,6005623,5079724,5036708
512,6022578,5105777,5063123,6024132,5105777,5063121,6023084,5105773,5063122,6023962,5105781,5063119,6026361,5105770,5063112,6023891,5105772,5063119,6024020,5105769,5063118,6023686,5105771,5063125,6023945,5105771,5063093,6023552,5105777,5063103
768,6041715,5131797,5089493,6042845,5131790,5089488,6042314,5131797,5089492,6041439,5131796,5089489,6041493,5131795,5089494,6041469,5131791,5089497,6041140,5131784,5089497,6041365,5131788,5089488,6041290,5131786,5089480,6041525,5131794,5089490
1024,6058653,5157841,5115874,6061596,5157835,5115892,6058984,5157840,5115893,6059874,5157836,5115875,6059277,5157837,5115883,6060495,5157840,5115879,6057815,5157829,5115880,6060425,5157828,5115879,6059808,5157838,5115872,6059289,5157830,5115879
1280,6077174,5183918,5142320,6077859,5183917,5142321,6078367,5183925,5142303,6077579,5183913,5142326,6076837,5183916,5142296,6078254,5183907,5142300,6077821,5183915,5142306,6076677,5183907,5142302,6077733,5183916,5142301,6077501,5183913,5142300
1536,6094918,5209972,5168719,6095661,5209959,5168712,6095700,5209972,5168712,6096856,5209969,5168716,6095689,5209964,5168706,6095484,5209964,5168707,6095279,5209963,5168713,6095956,5209970,5168703,6096174,5209966,5168708,6093914,5209966,5168709
1792,6113134,5235998,5195091,6113389,5236002,5195092,6112684,5235990,5195093,6114381,5236006,5195091,6113071,5235991,5195085,6113191,5235987,5195085,6113954,5235994,5195088,6113000,5235998,5195079,6113760,5235996,5195081,6113593,5235994,5195082
2048,6131617,5262043,5221491,6131770,5262045,5221493,6132372,5262036,5221481,6131878,5262042,5221487,6133152,5262041,5221479,6131223,5262044,5221460,6130550,5262045,5221473,6130373,5262042,5221488,6130164,5262047,5221478,6133676,5262049,5221470
2304,6146584,5288085,5247860,6149633,5288068,5247860,6149473,5288078,5247867,6149894,5288078,5247878,6149193,5288061,5247862,6151195,5288058,5247852,6149044,5288071,5247862,6150334,5288070,5247859,6150681,5288070,5247869,6150158,5288069,5247861
2560,6167478,5314133,5274284,6168275,5314141,5274282,6168541,5314133,5274273,6166967,5314143,5274281,6167564,5314139,5274291,6165569,5314137,5274268,6168185,5314141,5274278,6166234,5314149,5274270,6166849,5314139,5274279,6167282,5314155,5274282
2816,6183717,5340179,5300659,6184309,5340173,5300651,6186425,5340174,5300657,6185325,5340176,5300647,6185188,5340181,5300645,6183912,5340169,5300658,6187987,5340167,5300657,6185859,5340184,5300658,6184500,5340181,5300648,6185052,5340171,5300653
3072,6202180,5366229,5327050,6204581,5366213,5327050,6202179,5366223,5327069,6204937,5366221,5327056,6203631,5366227,5327057,6202548,5366218,5327056,6202652,5366228,5327042,6202272,5366217,5327051,6202943,5366216,5327043,6201348,5366226,5327051
3328,6222311,5392290,5353478,6222079,5392310,5353488,6219830,5392302,5353476,6221642,5392291,5353487,6221781,5392297,5353472,6220620,5392299,5353478,6221594,5392307,5353483,6221597,5392305,5353481,6223144,5392298,5353477,6221197,5392302,5353480
3584,6239073,5418358,5379884,6239340,5418354,5379883,6238473,5418366,5379888,6239335,5418368,5379889,6239875,5418353,5379899,6240707,5418356,5379882,6239256,5418355,5379890,6239580,5418346,5379883,6238828,5418355,5379880,6238973,5418359,5379884
3840,6257171,5444399,5406263,6256917,5444389,5406271,6258001,5444389,5406273,6259675,5444386,5406255,6256512,5444397,5406273,6257649,5444389,5406253,6257057,5444388,5406265,6256991,5444385,5406258,6258919,5444390,5406248,6258026,5444392,5406265
4096,6275304,5470448,5432683,6275205,5470444,5432676,6274631,5470449,5432660,6275893,5470447,5432668,6276019,5470448,5432672,6274381,5470459,5432659,6275542,5470448,5432655,6275214,5470447,5432666,6273654,5470450,5432658,6275154,5470450,5432665
4352,6292742,5496511,5459084,6292566,5496513,5459073,6292223,5496513,5459077,6294012,5496507,5459075,6293712,5496512,5459076,6293387,5496518,5459084,6293399,5496512,5459084,6291979,5496516,5459080,6294364,5496521,5459077,6293033,5496516,5459082
4608,6312289,5522567,5485491,6310847,5522565,5485477,6312060,5522562,5485493,6309373,5522581,5485491,6311196,5522574,5485485,6312914,5522574,5485473,6310585,5522569,5485488,6309101,5522575,5485484,6311415,5522581,5485484,6311658,5522573,5485495
4864,6329913,5548597,5511862,6328744,5548607,5511847,6327732,5548592,5511857,6330725,5548593,5511860,6329048,5548603,5511865,6329736,5548613,5511872,6329303,5548594,5511848,6327782,5548596,5511868,6329003,5548606,5511853,6328482,5548605,5511850
5120,6347463,5574676,5538216,6346602,5574666,5538224,6347275,5574686,5538220,6346237,5574682,5538223,6346078,5574665,5538218,6346588,5574665,5538226,6348218,5574671,5538226,6346021,5574684,5538208,6345754,5574670,5538222,6345988,5574672,5538226
5376,6366005,5600717,5564622,6364729,5600726,5564639,6366490,5600730,5564630,6363278,5600723,5564619,6364719,5600731,5564618,6366206,5600729,5564623,6363225,5600721,5564629,6363753,5600721,5564632,6364344,5600727,5564630,6364016,5600717,5564620
5632,6383358,5626798,5591046,6383471,5626808,5591053,6382135,5626806,5591048,6380507,5626816,5591051,6383712,5626811,5591065,6383175,5626809,5591059,6383426,5626822,5591064,6384106,5626809,5591061,6384158,5626817,5591066,6382521,5626817,5591070
5888,6403546,5652859,5617451,6401457,5652858,5617457,6401560,5652864,5617458,6401326,5652856,5617459,6400967,5652867,5617466,6401192,5652849,5617463,6400678,5652873,5617460,6402215,5652859,5617451,6400498,5652866,5617468,6400742,5652867,5617438
6144,6419076,5678892,5643841,6419540,5678899,5643821,6419807,5678888,5643838,6418287,5678895,5643840,6418826,5678901,5643834,6417705,5678884,5643828,6417479,5678891,5643849,6419520,5678897,5643827,6417380,5678893,5643834,6417315,5678893,5643821
6400,6436773,5704954,5670231,6437827,5704948,5670231,6436430,5704958,5670238,6437060,5704948,5670227,6436256,5704950,5670232,6435698,5704942,5670237,6436604,5704943,5670237,6436998,5704951,5670233,6437128,5704950,5670230,6436883,5704941,5670230
6656,6455934,5731039,5696674,6456532,5731034,5696659,6455965,5731047,5696655,6456346,5731040,5696656,6455534,5731040,5696667,6453593,5731046,5696673,6455372,5731037,5696665,6455339,5731045,5696667,6454994,5731035,5696659,6453393,5731028,5696664
6912,6472930,5757089,5723060,6471337,5757100,5723075,6473682,5757093,5723062,6473854,5757088,5723074,6473614,5757090,5723065,6472684,5757081,5723074,6472576,5757082,5723064,6473069,5757087,5723053,6471705,5757080,5723073,6472648,5757092,5723070
7168,6490844,5783122,5749436,6492846,5783107,5749445,6491660,5783105,5749439,6490872,5783108,5749438,6490331,5783119,5749447,6489392,5783118,5749442,6492822,5783118,5749434,6490383,5783122,5749441,6491982,5783114,5749449,6491189,5783121,5749439
7424,6508776,5809168,5775836,6508594,5809164,5775836,6509734,5809157,5775831,6510002,5809157,5775833,6507522,5809163,5775832,6507888,5809162,5775829,6509638,5809156,5775838,6509893,5809164,5775822,6508842,5809170,5775834,6509130,5809168,5775837
7680,6526262,5835266,5802267,6527027,5835273,5802282,6526487,5835252,5802276,6526738,5835261,5802282,6526728,5835267,5802278,6525161,5835263,5802280,6527045,5835262,5802275,6527239,5835261,5802274,6528434,5835250,5802271,6526118,5835264,5802275
7936,6545363,5861312,5828693,6543662,5861335,5828686,6544672,5861325,5828686,6543407,5861311,5828686,6544016,5861328,5828680,6543092,5861319,5828682,6544834,5861322,5828684,6544326,5861320,5828687,6543765,5861322,5828694,6544404,5861325,5828689
8192,6562339,5887349,5855077,6560652,5887353,5855078,6563196,5887361,5855075,6562554,5887349,5855073,6562089,5887333,5855080,6562107,5887351,5855080,6564562,5887351,5855074,6563218,5887346,5855084,6563319,5887360,5855080,6562759,5887355,5855088
8448,6580704,5913402,5881484,6581246,5913407,5881496,6580469,5913409,5881486,6580553,5913411,5881492,6581646,5913402,5881478,6579936,5913406,5881470,6581583,5913398,5881477,6581304,5913394,5881486,6580636,5913412,5881484,6580484,5913396,5881490
8704,6597828,5939456,5907882,6598848,5939452,5907907,6597992,5939458,5907892,6598117,5939464,5907906,6596358,5939448,5907890,6599651,5939459,5907904,6597537,5939459,5907893,6596910,5939452,5907903,6598590,5939464,5907890,6597321,5939451,5907898
8960,6615889,5965527,5934308,6615781,5965526,5934305,6616243,5965521,5934298,6615445,5965520,5934305,6615297,5965521,5934298,6615444,5965517,5934304,6615651,5965528,5934303,6617312,5965524,5934307,6616112,5965519,5934306,6617174,5965520,5934298
