0,5098114,3720024,5096838,3720041,5097495,3720047
2048,5304940,4017920,5303642,4017918,5302669,4017944
4096,5508731,4315857,5510594,4315867,5509998,4315852
6144,5714659,4613936,5714543,4613914,5714193,4613927
8192,5920048,4912100,5920186,4912096,5921579,4912104
10240,6126182,5210385,6127149,5210387,6124840,5210368
12288,6333257,5508843,6331489,5508851,6331159,5508825
14336,6537204,5807557,6537978,5807549,6537503,5807556
16384,6746533,6106428,6744523,6106434,6744185,6106447
18432,6951152,6405367,6950335,6405387,6948883,6405385
20480,7157482,6704351,7155286,6704353,7158362,6704349
22528,7363090,7003346,7360144,7003335,7362892,7003328
24576,7568121,7302350,7568269,7302340,7567755,7302350
26624,7773804,7601371,7774967,7601379,7773764,7601355
28672,7982089,7900353,7981849,7900376,7979255,7900364
30720,8185987,8199364,8188581,8199342,8185026,8199345
32768,8392895,8498357,8392762,8498348,8393623,8498353
34816,8597528,8797404,8598811,8797371,8597004,8797367
36864,8802719,9096439,8805340,9096448,8804011,9096450
38912,9011441,9395443,9011089,9395458,9010674,9395461
40960,9215742,9694460,9216733,9694464,9218899,9694446
43008,9422600,9993503,9421205,9993507,9422186,9993522
45056,9626830,10292521,9627559,10292502,9627540,10292529
47104,9832971,10591495,9832385,10591488,9832634,10591483
49152,10041443,10890439,10041204,10890438,10040983,10890443
51200,10245661,11189401,10248099,11189407,10246112,11189423
53248,10451674,11488363,10452606,11488327,10452107,11488336
55296,10660230,11787190,10658674,11787187,10659921,11787187
57344,10866337,12085964,10864433,12085948,10864482,12085971
59392,11070701,12384709,11072337,12384675,11070311,12384685
61440,11276201,12683397,11274581,12683375,11276950,12683369
63488,11485972,12982093,11485302,12982059,11483449,12982061
