0,5069334,3719025,5067249,3719050,5068750,3719052
2048,5272958,4017089,5273837,4017090,5273280,4017058
4096,5481410,4315165,5480256,4315152,5478366,4315167
6144,5687137,4613327,5683576,4613319,5685309,4613293
8192,5890259,4911607,5890446,4911603,5889491,4911617
10240,6097191,5210009,6097583,5209993,6095711,5209996
12288,6303063,5508565,6303610,5508556,6303104,5508558
14336,6510213,5807414,6508581,5807419,6508115,5807398
16384,6714653,6106391,6712927,6106396,6714157,6106387
18432,6920100,6405420,6921341,6405447,6920658,6405462
20480,7126131,6704501,7126515,6704505,7124895,6704499
22528,7332440,7003561,7329465,7003565,7331596,7003549
24576,7535637,7302680,7536782,7302714,7538270,7302710
26624,7742600,7601802,7744827,7601827,7743408,7601798
28672,7950052,7900913,7949998,7900921,7947735,7900897
30720,8156185,8199994,8155585,8199994,8155411,8199999
32768,8361678,8499085,8361396,8499082,8361096,8499098
34816,8566185,8798190,8566756,8798181,8568842,8798195
36864,8774240,9097296,8773632,9097299,8772602,9097270
38912,8976193,9396469,8978281,9396449,8980487,9396467
40960,9185227,9695520,9182965,9695528,9183917,9695550
43008,9389981,9994685,9389708,9994693,9390484,9994688
45056,9596035,10293774,9597279,10293765,9595993,10293756
47104,9802753,10592831,9802787,10592847,9801812,10592834
49152,10010973,10891904,10007998,10891925,10007293,10891898
51200,10215495,11191023,10214342,11191025,10214683,11191001
53248,10420613,11489982,10417310,11489984,10421972,11489980
55296,10626660,11788921,10626977,11788931,10625590,11788933
57344,10829914,12087870,10832221,12087859,10831927,12087847
59392,11037811,12386589,11037201,12386571,11036838,12386588
61440,11243712,12685457,11244217,12685452,11245151,12685443
63488,11451286,12984241,11449495,12984236,11449546,12984244
