0,5972419,5055155,5974425,5055140,5975295,5055137
2048,6118567,5263477,6118459,5263483,6118640,5263470
4096,6263100,5471838,6262510,5471838,6262514,5471844
6144,6406799,5680214,6407578,5680202,6406252,5680213
8192,6551716,5888576,6551450,5888581,6549718,5888564
10240,6696123,6096920,6694047,6096908,6695909,6096915
12288,6838917,6305282,6840736,6305285,6840888,6305290
14336,6985941,6513627,6983628,6513624,6983130,6513635
16384,7128719,6721970,7128486,6721971,7128077,6721972
18432,7272405,6930320,7273180,6930321,7272862,6930315
20480,7418456,7138614,7418205,7138631,7417863,7138629
22528,7561523,7346941,7561146,7346934,7562244,7346941
24576,7706981,7555253,7704910,7555252,7705786,7555251
26624,7850074,7763593,7850165,7763614,7851707,7763600
28672,7993254,7971906,7993094,7971902,7994039,7971916
30720,8138037,8180230,8137880,8180228,8139685,8180227
32768,8282285,8388544,8285167,8388552,8282353,8388551
34816,8427245,8596866,8426865,8596865,8427632,8596872
36864,8570543,8805195,8573081,8805197,8572292,8805201
38912,8717283,9013528,8716708,9013528,8716691,9013515
40960,8859812,9221826,8860201,9221829,8860660,9221829
43008,9005142,9430144,9003804,9430138,9006640,9430144
45056,9149727,9638451,9149539,9638452,9149614,9638462
47104,9292760,9846788,9293964,9846796,9294165,9846789
49152,9438164,10055093,9437551,10055104,9439926,10055098
51200,9580906,10263411,9582936,10263417,9582037,10263408
53248,9727067,10471763,9727626,10471773,9725413,10471764
55296,9869897,10680088,9868685,10680080,9869195,10680097
57344,10013585,10888419,10016194,10888427,10014156,10888430
59392,10160461,11096753,10160682,11096747,10159400,11096770
61440,10303070,11305084,10304480,11305093,10303574,11305083
63488,10449139,11513398,10445955,11513414,10447497,11513411
