0,5073089,3720034,5070126,3720038,5071218,3720106
2048,5278697,4018078,5277615,4018110,5274953,4018138
4096,5483619,4316209,5487161,4316194,5483626,4316142
6144,5691752,4614243,5693288,4614219,5690207,4614287
8192,5896285,4912480,5896454,4912482,5895690,4912476
10240,6103085,5210859,6105148,5210782,6102987,5210783
12288,6311048,5509305,6308583,5509301,6309894,5509294
14336,6519190,5808129,6518095,5808182,6514622,5808109
16384,6721952,6107162,6720914,6107141,6724091,6107090
18432,6930171,6406211,6929855,6406197,6927943,6406165
20480,7133643,6705228,7137143,6705258,7133826,6705228
22528,7342505,7004221,7340636,7004314,7341477,7004242
24576,7550293,7303430,7547571,7303339,7550815,7303415
26624,7753266,7602459,7753827,7602489,7752829,7602509
28672,7963850,7901593,7959383,7901515,7961483,7901509
30720,8170360,8200642,8169935,8200690,8167655,8200681
32768,8375708,8499640,8373459,8499647,8372497,8499701
34816,8579608,8798717,8584528,8798725,8582792,8798788
36864,8785418,9097907,8788957,9097835,8787398,9097875
38912,8995341,9396931,8992286,9396944,8997241,9396923
40960,9200064,9696078,9201059,9696021,9201446,9696006
43008,9406997,9995119,9407536,9995068,9406812,9995065
45056,9613909,10294159,9612985,10294181,9614169,10294180
47104,9819818,10593220,9819138,10593146,9821419,10593209
49152,10027968,10892237,10025250,10892233,10026256,10892308
51200,10236054,11191221,10236632,11191222,10230636,11191257
53248,10438724,11490218,10440812,11490224,10441144,11490233
55296,10648081,11789041,10647981,11789037,10648026,11789104
57344,10852878,12087972,10852466,12087955,10853746,12087900
59392,11060654,12386803,11061743,12386746,11057769,12386739
61440,11267714,12685603,11266214,12685622,11266628,12685560
63488,11473258,12984300,11472482,12984272,11474181,12984344
