0,5996682,5056306,5997313,5056277,5996675,5056267
2048,6140022,5264546,6141878,5264543,6141819,5264539
4096,6286065,5472822,6283612,5472816,6283458,5472826
6144,6426235,5681119,6427844,5681116,6429289,5681108
8192,6571373,5889401,6571624,5889401,6572804,5889403
10240,6713617,6097689,6712826,6097682,6714378,6097679
12288,6862144,6305936,6859803,6305942,6860023,6305944
14336,7003150,6514211,7003041,6514217,7003783,6514214
16384,7142896,6722482,7146037,6722487,7146203,6722486
18432,7289731,6930749,7288048,6930749,7291298,6930749
20480,7433662,7138984,7433378,7138992,7431434,7138988
22528,7576131,7347225,7576231,7347219,7575645,7347210
24576,7720797,7555502,7720451,7555506,7718874,7555498
26624,7862899,7763770,7863386,7763777,7862218,7763772
28672,8006274,7972004,8008395,7972006,8007305,7972002
30720,8148292,8180252,8149529,8180260,8149572,8180275
32768,8293972,8388521,8294093,8388521,8291735,8388508
34816,8438071,8596770,8440200,8596776,8438206,8596776
36864,8580982,8805021,8580753,8805038,8579483,8805033
38912,8723781,9013262,8723359,9013269,8725909,9013280
40960,8868224,9221536,8868288,9221532,8868346,9221533
43008,9011949,9429784,9011212,9429785,9012925,9429790
45056,9153758,9638021,9154995,9638029,9154625,9638020
47104,9300204,9846285,9298198,9846298,9298944,9846300
49152,9441233,10054571,9443428,10054565,9441910,10054561
51200,9585330,10262804,9585136,10262807,9585893,10262821
53248,9729793,10471110,9729182,10471119,9730773,10471111
55296,9871042,10679392,9873439,10679396,9872787,10679392
57344,10015851,10887689,10017328,10887686,10016114,10887690
59392,10160471,11095972,10160151,11095984,10159221,11095981
61440,10304606,11304248,10304145,11304262,10302612,11304264
63488,10448015,11512549,10447522,11512559,10447382,11512558
