0,6015425,5055166,6011791,5055133,6013533,5055130
2048,6156669,5263427,6157233,5263439,6156459,5263434
4096,6299884,5471790,6302504,5471785,6301475,5471793
6144,6443652,5680162,6445179,5680167,6445454,5680170
8192,6587574,5888511,6589835,5888500,6589994,5888507
10240,6733226,6096876,6731580,6096871,6732143,6096872
12288,6877186,6305208,6875152,6305205,6875142,6305219
14336,7017970,6513564,7018233,6513573,7020898,6513558
16384,7163644,6721881,7163376,6721897,7163727,6721878
18432,7307048,6930182,7306703,6930196,7307564,6930204
20480,7448723,7138522,7449159,7138529,7449889,7138527
22528,7593445,7346811,7593990,7346819,7593176,7346823
24576,7735402,7555174,7737035,7555177,7736925,7555179
26624,7878687,7763489,7878080,7763499,7878228,7763504
28672,8022864,7971807,8020480,7971815,8021967,7971817
30720,8166238,8180131,8165550,8180128,8166432,8180124
32768,8308208,8388468,8308946,8388475,8309967,8388461
34816,8453613,8596819,8452562,8596823,8452453,8596823
36864,8595753,8805140,8595420,8805134,8596370,8805141
38912,8740408,9013448,8738817,9013453,8741072,9013457
40960,8882547,9221755,8883990,9221776,8883914,9221767
43008,9025156,9430065,9029118,9430078,9026178,9430061
45056,9170059,9638382,9168168,9638388,9168303,9638382
47104,9311058,9846715,9313607,9846722,9312908,9846719
49152,9457091,10055061,9457055,10055067,9457612,10055072
51200,9601140,10263375,9599324,10263387,9600554,10263377
53248,9743841,10471751,9745155,10471747,9742189,10471748
55296,9884265,10680066,9887465,10680075,9886319,10680070
57344,10030328,10888401,10032091,10888411,10030633,10888416
59392,10174606,11096766,10174581,11096772,10172620,11096779
61440,10318157,11305101,10317323,11305113,10315060,11305125
63488,10459356,11513452,10459897,11513456,10461451,11513457
